n,k,t,l,r,p,rep,norm,timestamp,worker
6,5,10.0,2,100000,2,0,6.170951508581943e-11,2025-10-04T04:04:48,2
6,5,10.0,2,100000,2,0,8.23355103164773e-11,2025-10-04T04:04:48,3
6,5,10.0,2,100000,2,0,1.3320155834868514e-10,2025-10-04T04:04:48,0
6,5,10.0,2,100000,2,0,8.918972407811624e-11,2025-10-04T04:04:48,10
6,5,10.0,2,100000,2,0,8.955771404550664e-11,2025-10-04T04:04:48,5
6,5,10.0,2,100000,2,0,1.7185227263098795e-10,2025-10-04T04:04:48,1
6,5,10.0,2,100000,2,0,1.160356536536147e-10,2025-10-04T04:04:48,7
6,5,10.0,2,100000,2,0,7.314539669858768e-11,2025-10-04T04:04:48,6
6,5,10.0,2,100000,2,0,1.1824440983719498e-10,2025-10-04T04:04:48,9
6,5,10.0,2,100000,2,0,7.075776148203938e-11,2025-10-04T04:04:48,4
6,5,10.0,2,100000,2,0,1.3919050909989712e-10,2025-10-04T04:04:48,8
6,5,10.0,2,100000,2,1,7.295291695489621e-11,2025-10-04T04:04:48,1
6,5,10.0,2,100000,2,1,1.2246779954678559e-10,2025-10-04T04:04:48,10
6,5,10.0,2,100000,2,2,5.3398142964721185e-11,2025-10-04T04:04:48,1
6,5,10.0,2,100000,2,1,1.2245317313177072e-10,2025-10-04T04:04:48,0
6,5,10.0,2,100000,2,2,8.383964516381749e-11,2025-10-04T04:04:48,10
6,5,10.0,2,100000,2,1,5.572033046583272e-11,2025-10-04T04:04:48,5
6,5,10.0,2,100000,2,1,1.357212934648476e-10,2025-10-04T04:04:48,3
6,5,10.0,2,100000,2,1,5.961450431338552e-11,2025-10-04T04:04:48,7
6,5,10.0,2,100000,2,1,1.361065813912524e-10,2025-10-04T04:04:48,2
6,5,10.0,2,100000,2,1,1.3741594181174155e-10,2025-10-04T04:04:48,8
6,5,10.0,2,100000,2,1,9.589420634971026e-11,2025-10-04T04:04:48,9
6,5,10.0,2,100000,2,1,1.2174407030081384e-10,2025-10-04T04:04:48,6
6,5,10.0,2,100000,2,3,7.61175327786222e-11,2025-10-04T04:04:48,1
6,5,10.0,2,100000,2,2,1.7048245695256968e-10,2025-10-04T04:04:48,0
6,5,10.0,2,100000,2,3,1.4216783832981463e-10,2025-10-04T04:04:48,10
6,5,10.0,2,100000,2,2,1.1757910396075356e-10,2025-10-04T04:04:48,5
6,5,10.0,2,100000,2,2,4.799860102462338e-11,2025-10-04T04:04:48,3
6,5,10.0,2,100000,2,2,8.996214455968584e-11,2025-10-04T04:04:48,8
6,5,10.0,2,100000,2,1,1.1451470962973287e-10,2025-10-04T04:04:48,4
6,5,10.0,2,100000,2,2,4.447997723518157e-11,2025-10-04T04:04:48,6
6,5,10.0,2,100000,2,2,1.1403006929026424e-10,2025-10-04T04:04:48,7
6,5,10.0,2,100000,2,3,2.88635555357929e-11,2025-10-04T04:04:48,0
6,5,10.0,2,100000,2,2,1.5731381603723923e-10,2025-10-04T04:04:48,2
6,5,10.0,2,100000,2,3,1.304883621537276e-10,2025-10-04T04:04:48,5
6,5,10.0,2,100000,2,3,7.950793280442807e-11,2025-10-04T04:04:48,3
6,5,10.0,2,100000,2,2,1.335261674643012e-10,2025-10-04T04:04:48,9
6,5,10.0,2,100000,2,3,7.719656587841591e-11,2025-10-04T04:04:48,8
6,5,10.0,2,100000,2,3,7.079938129417945e-11,2025-10-04T04:04:48,6
6,5,10.0,2,100000,2,3,9.922627491893014e-11,2025-10-04T04:04:48,7
6,5,10.0,2,100000,2,2,7.219703900686208e-11,2025-10-04T04:04:48,4
6,5,10.0,2,100000,2,3,9.843485429649524e-11,2025-10-04T04:04:48,2
6,5,10.0,2,100000,2,3,1.1337390209778567e-10,2025-10-04T04:04:48,9
6,5,10.0,2,100000,2,3,1.5823825350418063e-10,2025-10-04T04:04:48,4
8,5,10.0,2,100000,2,0,4.588021944482147e-10,2025-10-04T04:04:49,5
8,5,10.0,2,100000,2,0,3.0514890581333424e-10,2025-10-04T04:04:49,7
8,5,10.0,2,100000,2,0,5.195690929442461e-10,2025-10-04T04:04:49,4
8,5,10.0,2,100000,2,0,7.380734672516589e-10,2025-10-04T04:04:49,1
8,5,10.0,2,100000,2,0,7.170015146468231e-10,2025-10-04T04:04:49,6
8,5,10.0,2,100000,2,0,7.233984190778659e-10,2025-10-04T04:04:49,8
8,5,10.0,2,100000,2,0,4.5910352063952364e-10,2025-10-04T04:04:49,3
8,5,10.0,2,100000,2,0,5.332615446774784e-10,2025-10-04T04:04:49,10
8,5,10.0,2,100000,2,0,4.917545822136998e-10,2025-10-04T04:04:49,9
8,5,10.0,2,100000,2,0,5.937087032459489e-10,2025-10-04T04:04:49,2
8,5,10.0,2,100000,2,0,5.320079761045391e-10,2025-10-04T04:04:49,0
8,5,10.0,2,100000,2,1,3.2492667595393705e-10,2025-10-04T04:04:49,4
8,5,10.0,2,100000,2,1,4.1589232683835733e-10,2025-10-04T04:04:49,6
8,5,10.0,2,100000,2,1,3.5427690254673735e-10,2025-10-04T04:04:49,9
8,5,10.0,2,100000,2,1,6.905795194350683e-10,2025-10-04T04:04:49,1
8,5,10.0,2,100000,2,1,2.8092119893407166e-10,2025-10-04T04:04:49,7
8,5,10.0,2,100000,2,1,5.697521402426123e-10,2025-10-04T04:04:49,5
8,5,10.0,2,100000,2,1,4.351474659039786e-10,2025-10-04T04:04:49,10
8,5,10.0,2,100000,2,1,6.940882927193698e-10,2025-10-04T04:04:49,3
8,5,10.0,2,100000,2,1,4.819236089039424e-10,2025-10-04T04:04:49,8
8,5,10.0,2,100000,2,1,2.885466695343251e-10,2025-10-04T04:04:49,2
8,5,10.0,2,100000,2,1,5.4179085762157e-10,2025-10-04T04:04:49,0
8,5,10.0,2,100000,2,2,7.575173049864648e-10,2025-10-04T04:04:49,6
8,5,10.0,2,100000,2,2,4.5353584265204506e-10,2025-10-04T04:04:49,4
8,5,10.0,2,100000,2,2,9.05736680294007e-10,2025-10-04T04:04:49,1
8,5,10.0,2,100000,2,2,3.616409486442785e-10,2025-10-04T04:04:49,9
8,5,10.0,2,100000,2,2,3.6893362994020774e-10,2025-10-04T04:04:49,7
8,5,10.0,2,100000,2,2,6.019880143888665e-10,2025-10-04T04:04:49,5
8,5,10.0,2,100000,2,2,5.609746252285081e-10,2025-10-04T04:04:50,2
8,5,10.0,2,100000,2,2,7.542941115027057e-10,2025-10-04T04:04:50,10
8,5,10.0,2,100000,2,2,6.745530939133225e-10,2025-10-04T04:04:50,0
8,5,10.0,2,100000,2,2,7.537229259456287e-10,2025-10-04T04:04:50,3
8,5,10.0,2,100000,2,2,9.218217695628767e-10,2025-10-04T04:04:50,8
8,5,10.0,2,100000,2,3,5.496399399901326e-10,2025-10-04T04:04:50,6
8,5,10.0,2,100000,2,3,1.0304911451787186e-09,2025-10-04T04:04:50,9
8,5,10.0,2,100000,2,3,6.986888270699721e-10,2025-10-04T04:04:50,1
8,5,10.0,2,100000,2,3,7.14086517577202e-10,2025-10-04T04:04:50,4
8,5,10.0,2,100000,2,3,3.9257880081008003e-10,2025-10-04T04:04:50,7
8,5,10.0,2,100000,2,3,8.29862202080459e-10,2025-10-04T04:04:50,2
8,5,10.0,2,100000,2,3,6.750211432739318e-10,2025-10-04T04:04:50,5
8,5,10.0,2,100000,2,3,4.011315250569978e-10,2025-10-04T04:04:50,8
8,5,10.0,2,100000,2,3,4.602755063866979e-10,2025-10-04T04:04:50,3
8,5,10.0,2,100000,2,3,5.147064665718406e-10,2025-10-04T04:04:50,0
8,5,10.0,2,100000,2,3,5.435323379542536e-10,2025-10-04T04:04:50,10
10,5,10.0,2,100000,2,0,2.1164722457904064e-09,2025-10-04T04:04:52,0
10,5,10.0,2,100000,2,0,2.0614977151566132e-09,2025-10-04T04:04:52,1
10,5,10.0,2,100000,2,0,1.1263613811072296e-09,2025-10-04T04:04:52,5
10,5,10.0,2,100000,2,0,9.640667354036772e-10,2025-10-04T04:04:52,7
10,5,10.0,2,100000,2,0,8.863950278624128e-10,2025-10-04T04:04:52,3
10,5,10.0,2,100000,2,0,2.303013884770497e-09,2025-10-04T04:04:52,2
10,5,10.0,2,100000,2,0,1.3961667992177805e-09,2025-10-04T04:04:52,10
10,5,10.0,2,100000,2,0,1.1426822894753302e-09,2025-10-04T04:04:52,9
10,5,10.0,2,100000,2,0,9.80346589395167e-10,2025-10-04T04:04:52,6
10,5,10.0,2,100000,2,0,1.1875873939737961e-09,2025-10-04T04:04:52,4
10,5,10.0,2,100000,2,0,1.3574803047407692e-09,2025-10-04T04:04:52,8
