n,k,t,l,r,p,rep,norm,timestamp,worker
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,0
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,2
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,3
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,4
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,1
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,5
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,10
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,8
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,9
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,7
10,4,0.0,2,100000,2,0,0.0,2025-10-04T09:51:40,6
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,0
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,2
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,10
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,1
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,3
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,8
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,4
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,5
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,9
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,7
10,4,0.0,2,100000,2,1,0.0,2025-10-04T09:51:42,6
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,1
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,2
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,3
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,0
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,5
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,8
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,4
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:43,10
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:44,9
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:44,7
10,4,0.0,2,100000,2,2,0.0,2025-10-04T09:51:44,6
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:45,3
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:45,8
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:45,1
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:45,4
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:45,2
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:45,0
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:45,5
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:46,10
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:46,9
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:46,7
10,4,0.0,2,100000,2,3,0.0,2025-10-04T09:51:46,6
10,4,10.1010101010101,2,100000,2,0,2.0066907637872802e-09,2025-10-04T09:51:48,0
10,4,10.1010101010101,2,100000,2,0,6.842913429683182e-10,2025-10-04T09:51:48,4
10,4,10.1010101010101,2,100000,2,0,1.1771133587203702e-09,2025-10-04T09:51:48,1
10,4,10.1010101010101,2,100000,2,0,8.534962901217359e-10,2025-10-04T09:51:48,10
10,4,10.1010101010101,2,100000,2,0,2.152881165991268e-09,2025-10-04T09:51:48,5
10,4,10.1010101010101,2,100000,2,0,9.395625687322012e-10,2025-10-04T09:51:48,8
10,4,10.1010101010101,2,100000,2,0,1.4047068194904628e-09,2025-10-04T09:51:48,3
10,4,10.1010101010101,2,100000,2,0,1.7401306994816744e-09,2025-10-04T09:51:48,7
10,4,10.1010101010101,2,100000,2,0,1.0103955148910007e-09,2025-10-04T09:51:48,2
10,4,10.1010101010101,2,100000,2,0,1.4684625174775813e-09,2025-10-04T09:51:48,6
10,4,10.1010101010101,2,100000,2,0,1.9987242955611255e-09,2025-10-04T09:51:48,9
10,4,10.1010101010101,2,100000,2,1,1.9886938099626767e-09,2025-10-04T09:51:50,8
10,4,10.1010101010101,2,100000,2,1,1.1923922013562343e-09,2025-10-04T09:51:50,0
10,4,10.1010101010101,2,100000,2,1,9.161593566225706e-10,2025-10-04T09:51:50,3
10,4,10.1010101010101,2,100000,2,1,9.238960348265266e-10,2025-10-04T09:51:50,1
10,4,10.1010101010101,2,100000,2,1,9.83094754558115e-10,2025-10-04T09:51:50,10
10,4,10.1010101010101,2,100000,2,1,1.2662168072226764e-09,2025-10-04T09:51:50,4
10,4,10.1010101010101,2,100000,2,1,9.49577874403771e-10,2025-10-04T09:51:50,5
10,4,10.1010101010101,2,100000,2,1,6.944348927370479e-10,2025-10-04T09:51:50,6
10,4,10.1010101010101,2,100000,2,1,7.763615391510373e-10,2025-10-04T09:51:50,7
10,4,10.1010101010101,2,100000,2,1,8.414218768450628e-10,2025-10-04T09:51:50,2
10,4,10.1010101010101,2,100000,2,1,7.348839621027371e-10,2025-10-04T09:51:50,9
10,4,10.1010101010101,2,100000,2,2,1.4491547866080644e-09,2025-10-04T09:51:52,0
10,4,10.1010101010101,2,100000,2,2,1.518924597812865e-09,2025-10-04T09:51:52,3
10,4,10.1010101010101,2,100000,2,2,1.7514094564996332e-09,2025-10-04T09:51:52,8
10,4,10.1010101010101,2,100000,2,2,7.623117563021494e-10,2025-10-04T09:51:52,10
10,4,10.1010101010101,2,100000,2,2,1.0546305987407897e-09,2025-10-04T09:51:52,5
10,4,10.1010101010101,2,100000,2,2,2.0343942036331693e-09,2025-10-04T09:51:52,7
10,4,10.1010101010101,2,100000,2,2,1.0145931240770015e-09,2025-10-04T09:51:52,1
10,4,10.1010101010101,2,100000,2,2,8.29610076420848e-10,2025-10-04T09:51:52,4
10,4,10.1010101010101,2,100000,2,2,2.0351963034528333e-09,2025-10-04T09:51:52,9
10,4,10.1010101010101,2,100000,2,2,2.7922605222468726e-09,2025-10-04T09:51:52,2
10,4,10.1010101010101,2,100000,2,2,8.522656579851721e-10,2025-10-04T09:51:52,6
10,4,10.1010101010101,2,100000,2,3,1.0792798928150029e-09,2025-10-04T09:51:54,0
10,4,10.1010101010101,2,100000,2,3,1.318275871467194e-09,2025-10-04T09:51:54,3
10,4,10.1010101010101,2,100000,2,3,1.1490010773266074e-09,2025-10-04T09:51:54,8
10,4,10.1010101010101,2,100000,2,3,1.6652834774256231e-09,2025-10-04T09:51:54,5
10,4,10.1010101010101,2,100000,2,3,1.3451247857805654e-09,2025-10-04T09:51:54,7
10,4,10.1010101010101,2,100000,2,3,8.731764272349733e-10,2025-10-04T09:51:54,10
10,4,10.1010101010101,2,100000,2,3,1.519711462040018e-09,2025-10-04T09:51:54,9
10,4,10.1010101010101,2,100000,2,3,2.9767909244781635e-09,2025-10-04T09:51:54,2
10,4,10.1010101010101,2,100000,2,3,1.387512460447202e-09,2025-10-04T09:51:54,1
10,4,10.1010101010101,2,100000,2,3,1.4163532191150297e-09,2025-10-04T09:51:54,4
10,4,10.1010101010101,2,100000,2,3,1.022898752194734e-09,2025-10-04T09:51:54,6
10,4,20.2020202020202,2,100000,2,0,1.2571468190408353e-09,2025-10-04T09:51:56,0
10,4,20.2020202020202,2,100000,2,0,7.777779853325905e-10,2025-10-04T09:51:56,3
10,4,20.2020202020202,2,100000,2,0,9.82977257183518e-10,2025-10-04T09:51:56,7
10,4,20.2020202020202,2,100000,2,0,1.4892775642201886e-09,2025-10-04T09:51:56,1
10,4,20.2020202020202,2,100000,2,0,1.495986637206646e-09,2025-10-04T09:51:56,5
10,4,20.2020202020202,2,100000,2,0,3.045306442000166e-09,2025-10-04T09:51:56,10
10,4,20.2020202020202,2,100000,2,0,1.1268286780779543e-09,2025-10-04T09:51:56,9
10,4,20.2020202020202,2,100000,2,0,1.074620888309673e-09,2025-10-04T09:51:56,6
10,4,20.2020202020202,2,100000,2,0,8.666491440127556e-10,2025-10-04T09:51:56,4
10,4,20.2020202020202,2,100000,2,0,1.0012689017570518e-09,2025-10-04T09:51:56,8
10,4,20.2020202020202,2,100000,2,0,1.5603663969492412e-09,2025-10-04T09:51:56,2
10,4,20.2020202020202,2,100000,2,1,1.3533052372249232e-09,2025-10-04T09:51:58,5
10,4,20.2020202020202,2,100000,2,1,9.971212564742446e-10,2025-10-04T09:51:58,0
10,4,20.2020202020202,2,100000,2,1,1.7831551780556875e-09,2025-10-04T09:51:58,10
10,4,20.2020202020202,2,100000,2,1,1.3604345852913912e-09,2025-10-04T09:51:58,3
10,4,20.2020202020202,2,100000,2,1,1.309327523532135e-09,2025-10-04T09:51:58,9
10,4,20.2020202020202,2,100000,2,1,1.6292626231743777e-09,2025-10-04T09:51:58,7
10,4,20.2020202020202,2,100000,2,1,1.3255113016532837e-09,2025-10-04T09:51:58,4
10,4,20.2020202020202,2,100000,2,1,1.0748716267472153e-09,2025-10-04T09:51:58,1
10,4,20.2020202020202,2,100000,2,1,1.0012237613766558e-09,2025-10-04T09:51:58,6
10,4,20.2020202020202,2,100000,2,1,1.5149094805303326e-09,2025-10-04T09:51:58,8
10,4,20.2020202020202,2,100000,2,1,1.681513383536294e-09,2025-10-04T09:51:58,2
10,4,20.2020202020202,2,100000,2,2,1.2930367538460657e-09,2025-10-04T09:52:00,10
10,4,20.2020202020202,2,100000,2,2,1.1377346679812617e-09,2025-10-04T09:52:00,5
10,4,20.2020202020202,2,100000,2,2,1.0833872404679469e-09,2025-10-04T09:52:00,0
10,4,20.2020202020202,2,100000,2,2,1.989423717037648e-09,2025-10-04T09:52:00,3
10,4,20.2020202020202,2,100000,2,2,1.2530563467576672e-09,2025-10-04T09:52:00,4
10,4,20.2020202020202,2,100000,2,2,1.2117140238791024e-09,2025-10-04T09:52:00,1
10,4,20.2020202020202,2,100000,2,2,9.591815613861298e-10,2025-10-04T09:52:00,9
10,4,20.2020202020202,2,100000,2,2,1.7988750399153432e-09,2025-10-04T09:52:01,7
10,4,20.2020202020202,2,100000,2,2,9.185669542975338e-10,2025-10-04T09:52:01,6
10,4,20.2020202020202,2,100000,2,2,1.1131339805728807e-09,2025-10-04T09:52:01,8
10,4,20.2020202020202,2,100000,2,2,1.5761639241028698e-09,2025-10-04T09:52:01,2
10,4,20.2020202020202,2,100000,2,3,1.998738771207057e-09,2025-10-04T09:52:02,0
10,4,20.2020202020202,2,100000,2,3,1.2131470421754029e-09,2025-10-04T09:52:02,10
10,4,20.2020202020202,2,100000,2,3,1.5581993580483512e-09,2025-10-04T09:52:02,5
10,4,20.2020202020202,2,100000,2,3,1.7543670334539053e-09,2025-10-04T09:52:03,3
10,4,20.2020202020202,2,100000,2,3,1.2183718922595575e-09,2025-10-04T09:52:03,4
10,4,20.2020202020202,2,100000,2,3,1.240494898948642e-09,2025-10-04T09:52:03,7
10,4,20.2020202020202,2,100000,2,3,1.305396073408857e-09,2025-10-04T09:52:03,6
10,4,20.2020202020202,2,100000,2,3,2.28326581564023e-09,2025-10-04T09:52:03,9
10,4,20.2020202020202,2,100000,2,3,8.69816484212499e-10,2025-10-04T09:52:03,2
10,4,20.2020202020202,2,100000,2,3,1.399048314577828e-09,2025-10-04T09:52:03,1
10,4,20.2020202020202,2,100000,2,3,1.2599347814928122e-09,2025-10-04T09:52:03,8
10,4,30.3030303030303,2,100000,2,0,2.1683316028639724e-09,2025-10-04T09:52:05,10
10,4,30.3030303030303,2,100000,2,0,1.894999024345254e-09,2025-10-04T09:52:05,7
10,4,30.3030303030303,2,100000,2,0,2.9671079330731846e-09,2025-10-04T09:52:05,2
10,4,30.3030303030303,2,100000,2,0,2.456923683474509e-09,2025-10-04T09:52:05,4
10,4,30.3030303030303,2,100000,2,0,2.7299211620970267e-09,2025-10-04T09:52:05,3
10,4,30.3030303030303,2,100000,2,0,2.8447331064397377e-09,2025-10-04T09:52:05,1
10,4,30.3030303030303,2,100000,2,0,2.462476928085683e-09,2025-10-04T09:52:05,8
10,4,30.3030303030303,2,100000,2,0,2.490096775022345e-09,2025-10-04T09:52:05,9
10,4,30.3030303030303,2,100000,2,0,2.323696589802405e-09,2025-10-04T09:52:05,0
10,4,30.3030303030303,2,100000,2,0,2.913903629728382e-09,2025-10-04T09:52:05,6
10,4,30.3030303030303,2,100000,2,0,2.7417248724067716e-09,2025-10-04T09:52:05,5
10,4,30.3030303030303,2,100000,2,1,2.306783647302836e-09,2025-10-04T09:52:07,10
