n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
10,4,0.0,1,100000,2,0,0.0,8,2025-10-25T18:21:53,0
10,4,0.0,1,100000,2,0,0.0,8,2025-10-25T18:21:53,1
10,4,0.0,1,100000,2,0,0.0,7,2025-10-25T18:21:53,3
10,4,0.0,1,100000,2,1,0.0,3,2025-10-25T18:21:53,3
10,4,0.0,1,100000,2,0,0.0,10,2025-10-25T18:21:53,2
10,4,0.0,1,100000,2,0,0.0,6,2025-10-25T18:21:53,6
10,4,0.0,1,100000,2,0,0.0,8,2025-10-25T18:21:53,8
10,4,0.0,1,100000,2,0,0.0,7,2025-10-25T18:21:53,7
10,4,0.0,1,100000,2,0,0.0,10,2025-10-25T18:21:53,5
10,4,0.0,1,100000,2,1,0.0,10,2025-10-25T18:21:53,0
10,4,0.0,1,100000,2,0,0.0,17,2025-10-25T18:21:53,4
10,4,0.0,1,100000,2,1,0.0,8,2025-10-25T18:21:53,8
10,4,0.0,1,100000,2,1,0.0,14,2025-10-25T18:21:53,1
10,4,0.0,1,100000,2,0,0.0,11,2025-10-25T18:21:53,9
10,4,0.0,1,100000,2,1,0.0,10,2025-10-25T18:21:53,6
10,4,0.0,1,100000,2,0,0.0,14,2025-10-25T18:21:53,10
10,4,0.0,1,100000,2,1,0.0,10,2025-10-25T18:21:53,7
10,4,0.0,1,100000,2,1,0.0,8,2025-10-25T18:21:53,5
10,4,0.0,1,100000,2,1,0.0,9,2025-10-25T18:21:53,4
10,4,0.0,1,100000,2,2,0.0,6,2025-10-25T18:21:53,1
10,4,0.0,1,100000,2,2,0.0,13,2025-10-25T18:21:53,3
10,4,0.0,1,100000,2,1,0.0,14,2025-10-25T18:21:53,2
10,4,0.0,1,100000,2,2,0.0,3,2025-10-25T18:21:53,6
10,4,0.0,1,100000,2,2,0.0,6,2025-10-25T18:21:53,4
10,4,0.0,1,100000,2,2,0.0,9,2025-10-25T18:21:53,7
10,4,0.0,1,100000,2,2,0.0,12,2025-10-25T18:21:53,5
10,4,0.0,1,100000,2,1,0.0,12,2025-10-25T18:21:53,10
10,4,0.0,1,100000,2,2,0.0,9,2025-10-25T18:21:53,0
10,4,0.0,1,100000,2,3,0.0,9,2025-10-25T18:21:53,6
10,4,0.0,1,100000,2,3,0.0,11,2025-10-25T18:21:53,0
10,4,0.0,1,100000,2,1,0.0,16,2025-10-25T18:21:53,9
10,4,0.0,1,100000,2,2,0.0,5,2025-10-25T18:21:53,2
10,4,0.0,1,100000,2,3,0.0,10,2025-10-25T18:21:53,3
10,4,0.0,1,100000,2,3,0.0,12,2025-10-25T18:21:53,1
10,4,0.0,1,100000,2,3,0.0,7,2025-10-25T18:21:53,7
10,4,0.0,1,100000,2,2,0.0,13,2025-10-25T18:21:53,8
10,4,0.0,1,100000,2,3,0.0,9,2025-10-25T18:21:53,8
10,4,0.0,1,100000,2,3,0.0,8,2025-10-25T18:21:53,2
10,4,0.0,1,100000,2,2,0.0,6,2025-10-25T18:21:53,10
10,4,0.0,1,100000,2,4,0.0,6,2025-10-25T18:21:53,3
10,4,0.0,1,100000,2,4,0.0,8,2025-10-25T18:21:53,6
10,4,0.0,1,100000,2,4,0.0,11,2025-10-25T18:21:53,0
10,4,0.0,1,100000,2,3,0.0,9,2025-10-25T18:21:53,4
10,4,0.0,1,100000,2,4,0.0,8,2025-10-25T18:21:53,1
10,4,0.0,1,100000,2,3,0.0,12,2025-10-25T18:21:53,5
10,4,0.0,1,100000,2,2,0.0,14,2025-10-25T18:21:53,9
10,4,0.0,1,100000,2,5,0.0,9,2025-10-25T18:21:53,3
10,4,0.0,1,100000,2,4,0.0,12,2025-10-25T18:21:53,2
10,4,0.0,1,100000,2,5,0.0,8,2025-10-25T18:21:53,6
10,4,0.0,1,100000,2,5,0.0,6,2025-10-25T18:21:53,1
10,4,0.0,1,100000,2,4,0.0,11,2025-10-25T18:21:53,8
10,4,0.0,1,100000,2,3,0.0,12,2025-10-25T18:21:53,10
10,4,0.0,1,100000,2,6,0.0,10,2025-10-25T18:21:53,6
10,4,0.0,1,100000,2,4,0.0,8,2025-10-25T18:21:53,5
10,4,0.0,1,100000,2,4,0.0,15,2025-10-25T18:21:53,7
10,4,0.0,1,100000,2,3,0.0,12,2025-10-25T18:21:53,9
10,4,0.0,1,100000,2,6,0.0,4,2025-10-25T18:21:53,1
10,4,0.0,1,100000,2,4,0.0,8,2025-10-25T18:21:53,10
10,4,0.0,1,100000,2,4,0.0,15,2025-10-25T18:21:53,4
10,4,0.0,1,100000,2,5,0.0,10,2025-10-25T18:21:53,0
