n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
6,4,10.0,2,100000,2,0,1.3174179993153998e-10,5,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,0,1.218914174249475e-10,6,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,0,1.2548252538436448e-10,6,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,0,2.0558112719071386e-11,6,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,1,4.3150845832097675e-11,7,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,1,8.594544796355311e-11,6,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,1,9.737437232049124e-11,6,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,2,1.3246665529540245e-10,4,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,2,6.038547958882544e-11,5,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,2,7.648728104678244e-11,4,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,1,8.200333547593532e-11,7,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,3,1.2178742701068999e-10,5,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,3,7.58335317872924e-11,7,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,3,1.0592546976650324e-10,6,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,2,7.431543406190343e-11,5,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,0,6.458814564125784e-11,5,2025-10-06T15:14:11,4
6,4,10.0,2,100000,2,4,1.701383795810676e-10,5,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,0,4.3727388334487217e-11,3,2025-10-06T15:14:11,8
6,4,10.0,2,100000,2,4,1.0231103724482031e-10,5,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,5,6.145101294763204e-11,3,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,1,8.776043441227746e-11,7,2025-10-06T15:14:11,4
6,4,10.0,2,100000,2,4,2.31057241686735e-10,8,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,3,1.9989421802899644e-10,9,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,1,1.460907339258434e-10,6,2025-10-06T15:14:11,8
6,4,10.0,2,100000,2,6,1.2147393171325675e-10,4,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,5,6.344752038031552e-11,7,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,2,1.5643130567059289e-10,6,2025-10-06T15:14:11,4
6,4,10.0,2,100000,2,5,1.3987359204166567e-10,4,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,4,1.0113747995493442e-10,8,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,7,6.007402637760392e-11,8,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,0,1.077545794309872e-10,5,2025-10-06T15:14:11,9
6,4,10.0,2,100000,2,3,8.74265083793572e-11,3,2025-10-06T15:14:11,4
6,4,10.0,2,100000,2,2,8.333354680791218e-11,8,2025-10-06T15:14:11,8
6,4,10.0,2,100000,2,6,8.82258778672359e-11,6,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,6,5.3886492544152654e-11,5,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,0,1.3673903642374097e-10,8,2025-10-06T15:14:11,6
6,4,10.0,2,100000,2,0,6.036903850331643e-11,7,2025-10-06T15:14:11,7
6,4,10.0,2,100000,2,0,2.0111212348003838e-10,8,2025-10-06T15:14:11,10
6,4,10.0,2,100000,2,0,9.30806892120784e-11,7,2025-10-06T15:14:11,5
6,4,10.0,2,100000,2,3,6.689008129165811e-11,5,2025-10-06T15:14:11,8
6,4,10.0,2,100000,2,1,1.2929347840233393e-10,4,2025-10-06T15:14:11,6
6,4,10.0,2,100000,2,5,1.8740214579791084e-10,8,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,8,6.688432392874028e-11,6,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,1,1.3321101020296766e-10,4,2025-10-06T15:14:11,7
6,4,10.0,2,100000,2,6,9.912814700055751e-11,5,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,1,2.046728810971111e-10,6,2025-10-06T15:14:11,9
6,4,10.0,2,100000,2,1,1.4376381234725456e-10,5,2025-10-06T15:14:11,10
6,4,10.0,2,100000,2,7,9.650253601282547e-11,6,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,7,3.281203593080706e-11,6,2025-10-06T15:14:11,3
6,4,10.0,2,100000,2,2,8.244749212228651e-11,5,2025-10-06T15:14:11,6
6,4,10.0,2,100000,2,2,1.1359923328910278e-10,6,2025-10-06T15:14:11,10
6,4,10.0,2,100000,2,2,1.2713861120047867e-10,6,2025-10-06T15:14:11,7
6,4,10.0,2,100000,2,1,1.459108836025228e-10,5,2025-10-06T15:14:11,5
6,4,10.0,2,100000,2,4,1.9012623744929433e-10,9,2025-10-06T15:14:11,4
6,4,10.0,2,100000,2,4,6.698450645408995e-11,6,2025-10-06T15:14:11,8
6,4,10.0,2,100000,2,7,1.205710443755892e-10,5,2025-10-06T15:14:11,2
6,4,10.0,2,100000,2,9,7.977306565059824e-11,7,2025-10-06T15:14:11,0
6,4,10.0,2,100000,2,8,9.815770015740416e-11,4,2025-10-06T15:14:11,1
6,4,10.0,2,100000,2,3,4.066860122551357e-11,4,2025-10-06T15:14:11,6
