n,k,t,l,r,p,rep,norm,timestamp,worker
6,5,10.0,1,100000,2,0,1.0725741498195019e-06,2025-10-25T08:36:39,0
6,5,10.0,1,100000,2,0,1.982629029162184e-06,2025-10-25T08:36:39,2
6,5,10.0,1,100000,2,0,5.882786802697415e-07,2025-10-25T08:36:39,4
6,5,10.0,1,100000,2,0,1.2232154916965804e-06,2025-10-25T08:36:39,3
6,5,10.0,1,100000,2,0,4.6186843009620316e-07,2025-10-25T08:36:39,1
6,5,10.0,1,100000,2,0,5.94534174031793e-07,2025-10-25T08:36:39,8
6,5,10.0,1,100000,2,0,1.3142100027053262e-06,2025-10-25T08:36:39,6
6,5,10.0,1,100000,2,0,1.379650913978119e-06,2025-10-25T08:36:39,9
6,5,10.0,1,100000,2,0,1.7923484508505411e-06,2025-10-25T08:36:39,5
6,5,10.0,1,100000,2,0,1.0076063654883302e-06,2025-10-25T08:36:39,7
6,5,10.0,1,100000,2,0,6.872626531983314e-07,2025-10-25T08:36:39,10
6,5,10.0,1,100000,2,1,5.893506759113767e-07,2025-10-25T08:36:39,2
6,5,10.0,1,100000,2,1,3.461107686711282e-07,2025-10-25T08:36:39,0
6,5,10.0,1,100000,2,1,8.196815867775785e-07,2025-10-25T08:36:39,4
6,5,10.0,1,100000,2,1,1.2596448434226941e-06,2025-10-25T08:36:39,3
6,5,10.0,1,100000,2,1,9.562448098210554e-07,2025-10-25T08:36:39,1
6,5,10.0,1,100000,2,1,2.4419565187512144e-07,2025-10-25T08:36:39,8
6,5,10.0,1,100000,2,1,5.224386814866353e-07,2025-10-25T08:36:39,6
6,5,10.0,1,100000,2,1,2.233628500716167e-06,2025-10-25T08:36:39,7
6,5,10.0,1,100000,2,1,1.1695671927752469e-06,2025-10-25T08:36:39,9
6,5,10.0,1,100000,2,1,8.420150057855435e-07,2025-10-25T08:36:39,5
6,5,10.0,1,100000,2,1,1.2426752827988053e-06,2025-10-25T08:36:39,10
6,5,10.0,1,100000,2,2,1.7351362680666047e-06,2025-10-25T08:36:39,2
6,5,10.0,1,100000,2,2,5.961670481802103e-07,2025-10-25T08:36:39,0
6,5,10.0,1,100000,2,2,1.1659259899736102e-06,2025-10-25T08:36:39,4
6,5,10.0,1,100000,2,2,2.3317607753040495e-07,2025-10-25T08:36:39,3
6,5,10.0,1,100000,2,2,8.38080463650954e-07,2025-10-25T08:36:39,1
6,5,10.0,1,100000,2,2,6.502590750898187e-07,2025-10-25T08:36:39,8
6,5,10.0,1,100000,2,2,1.5047118125804338e-06,2025-10-25T08:36:39,6
6,5,10.0,1,100000,2,2,1.4323948147155824e-06,2025-10-25T08:36:39,7
6,5,10.0,1,100000,2,2,1.9285623727466518e-07,2025-10-25T08:36:39,9
