n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
10,2,0.0,2,100000,2,0,0.0,3,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,1,0.0,6,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,0,0.0,11,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,0,0.0,13,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,2,0.0,8,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,1,0.0,9,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,1,0.0,9,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,0,0.0,7,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,0,0.0,10,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,3,0.0,7,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,0,0.0,12,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,2,0.0,8,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,2,0.0,8,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,0,0.0,11,2025-10-16T23:05:40,7
10,2,0.0,2,100000,2,0,0.0,11,2025-10-16T23:05:40,10
10,2,0.0,2,100000,2,0,0.0,17,2025-10-16T23:05:40,5
10,2,0.0,2,100000,2,0,0.0,12,2025-10-16T23:05:40,9
10,2,0.0,2,100000,2,1,0.0,10,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,1,0.0,9,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,0,0.0,14,2025-10-16T23:05:40,4
10,2,0.0,2,100000,2,1,0.0,8,2025-10-16T23:05:40,10
10,2,0.0,2,100000,2,4,0.0,15,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,1,0.0,14,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,3,0.0,13,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,3,0.0,11,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,1,0.0,8,2025-10-16T23:05:40,9
10,2,0.0,2,100000,2,2,0.0,6,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,1,0.0,13,2025-10-16T23:05:40,7
10,2,0.0,2,100000,2,2,0.0,8,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,1,0.0,11,2025-10-16T23:05:40,5
10,2,0.0,2,100000,2,2,0.0,8,2025-10-16T23:05:40,10
10,2,0.0,2,100000,2,2,0.0,8,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,2,0.0,7,2025-10-16T23:05:40,7
10,2,0.0,2,100000,2,4,0.0,8,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,3,0.0,7,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,5,0.0,11,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,2,0.0,9,2025-10-16T23:05:40,9
10,2,0.0,2,100000,2,4,0.0,11,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,1,0.0,12,2025-10-16T23:05:40,4
10,2,0.0,2,100000,2,3,0.0,6,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,3,0.0,12,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,2,0.0,9,2025-10-16T23:05:40,5
10,2,0.0,2,100000,2,5,0.0,4,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,3,0.0,9,2025-10-16T23:05:40,10
10,2,0.0,2,100000,2,4,0.0,8,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,3,0.0,12,2025-10-16T23:05:40,7
10,2,0.0,2,100000,2,4,0.0,9,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,3,0.0,9,2025-10-16T23:05:40,5
10,2,0.0,2,100000,2,4,0.0,8,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,6,0.0,12,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,2,0.0,12,2025-10-16T23:05:40,4
10,2,0.0,2,100000,2,3,0.0,13,2025-10-16T23:05:40,9
10,2,0.0,2,100000,2,6,0.0,10,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,5,0.0,14,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,4,0.0,4,2025-10-16T23:05:40,5
10,2,0.0,2,100000,2,4,0.0,11,2025-10-16T23:05:40,10
10,2,0.0,2,100000,2,4,0.0,8,2025-10-16T23:05:40,7
10,2,0.0,2,100000,2,5,0.0,8,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,7,0.0,9,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,5,0.0,15,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,5,0.0,11,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,3,0.0,10,2025-10-16T23:05:40,4
10,2,0.0,2,100000,2,4,0.0,12,2025-10-16T23:05:40,9
10,2,0.0,2,100000,2,5,0.0,9,2025-10-16T23:05:40,5
10,2,0.0,2,100000,2,6,0.0,9,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,7,0.0,14,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,6,0.0,5,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,6,0.0,10,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,5,0.0,12,2025-10-16T23:05:40,10
10,2,0.0,2,100000,2,8,0.0,5,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,6,0.0,10,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,5,0.0,12,2025-10-16T23:05:40,7
10,2,0.0,2,100000,2,4,0.0,12,2025-10-16T23:05:40,4
10,2,0.0,2,100000,2,8,0.0,11,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,7,0.0,8,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,5,0.0,11,2025-10-16T23:05:40,9
10,2,0.0,2,100000,2,6,0.0,11,2025-10-16T23:05:40,5
10,2,0.0,2,100000,2,7,0.0,8,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,7,0.0,11,2025-10-16T23:05:40,2
10,2,0.0,2,100000,2,7,0.0,8,2025-10-16T23:05:40,8
10,2,0.0,2,100000,2,8,0.0,4,2025-10-16T23:05:40,6
10,2,0.0,2,100000,2,9,0.0,10,2025-10-16T23:05:40,0
10,2,0.0,2,100000,2,9,0.0,12,2025-10-16T23:05:40,1
10,2,0.0,2,100000,2,6,0.0,14,2025-10-16T23:05:40,10
10,2,0.0,2,100000,2,5,0.0,10,2025-10-16T23:05:40,4
10,2,0.0,2,100000,2,6,0.0,13,2025-10-16T23:05:40,7
10,2,0.0,2,100000,2,8,0.0,9,2025-10-16T23:05:40,3
10,2,0.0,2,100000,2,6,0.0,11,2025-10-16T23:05:40,9
10,2,0.0,2,100000,2,7,0.0,15,2025-10-16T23:05:41,5
10,2,0.0,2,100000,2,9,0.0,9,2025-10-16T23:05:41,6
10,2,0.0,2,100000,2,7,0.0,9,2025-10-16T23:05:41,10
10,2,0.0,2,100000,2,8,0.0,14,2025-10-16T23:05:41,2
10,2,0.0,2,100000,2,8,0.0,12,2025-10-16T23:05:41,8
10,2,0.0,2,100000,2,7,0.0,9,2025-10-16T23:05:41,7
10,2,0.0,2,100000,2,6,0.0,14,2025-10-16T23:05:41,4
10,2,0.0,2,100000,2,7,0.0,11,2025-10-16T23:05:41,9
10,2,0.0,2,100000,2,9,0.0,14,2025-10-16T23:05:41,3
10,2,0.0,2,100000,2,8,0.0,9,2025-10-16T23:05:41,10
10,2,0.0,2,100000,2,8,0.0,12,2025-10-16T23:05:41,5
10,2,0.0,2,100000,2,8,0.0,9,2025-10-16T23:05:41,7
10,2,0.0,2,100000,2,9,0.0,16,2025-10-16T23:05:41,2
10,2,0.0,2,100000,2,7,0.0,9,2025-10-16T23:05:41,4
10,2,0.0,2,100000,2,9,0.0,11,2025-10-16T23:05:41,8
10,2,0.0,2,100000,2,8,0.0,11,2025-10-16T23:05:41,9
10,2,0.0,2,100000,2,9,0.0,12,2025-10-16T23:05:41,10
10,2,0.0,2,100000,2,8,0.0,7,2025-10-16T23:05:41,4
10,2,0.0,2,100000,2,9,0.0,9,2025-10-16T23:05:41,7
10,2,0.0,2,100000,2,9,0.0,11,2025-10-16T23:05:41,5
10,2,0.0,2,100000,2,9,0.0,8,2025-10-16T23:05:41,9
10,2,0.0,2,100000,2,9,0.0,11,2025-10-16T23:05:41,4
10,2,10.1010101010101,2,100000,2,0,1.089242245763449e-09,3,2025-10-16T23:05:41,7
10,2,10.1010101010101,2,100000,2,0,6.69285602657086e-09,8,2025-10-16T23:05:41,4
10,2,10.1010101010101,2,100000,2,0,4.188048318014066e-09,9,2025-10-16T23:05:41,9
10,2,10.1010101010101,2,100000,2,0,5.248365754488061e-09,8,2025-10-16T23:05:41,0
10,2,10.1010101010101,2,100000,2,0,6.2154477131595446e-09,9,2025-10-16T23:05:41,10
10,2,10.1010101010101,2,100000,2,0,5.6599253671830205e-09,12,2025-10-16T23:05:41,2
10,2,10.1010101010101,2,100000,2,0,1.665585058549778e-08,12,2025-10-16T23:05:41,6
10,2,10.1010101010101,2,100000,2,0,8.449645160759533e-09,12,2025-10-16T23:05:41,3
10,2,10.1010101010101,2,100000,2,0,5.048534432721053e-09,12,2025-10-16T23:05:41,8
10,2,10.1010101010101,2,100000,2,0,1.9429887070003653e-08,12,2025-10-16T23:05:41,1
10,2,10.1010101010101,2,100000,2,0,2.9046052641933975e-08,15,2025-10-16T23:05:41,5
10,2,10.1010101010101,2,100000,2,1,8.184654809217313e-09,7,2025-10-16T23:05:41,10
10,2,10.1010101010101,2,100000,2,1,2.8320937302320355e-09,11,2025-10-16T23:05:41,4
10,2,10.1010101010101,2,100000,2,1,1.3807928246215976e-08,12,2025-10-16T23:05:41,9
10,2,10.1010101010101,2,100000,2,1,9.222073258489807e-09,8,2025-10-16T23:05:41,2
10,2,10.1010101010101,2,100000,2,1,9.971485120587938e-09,17,2025-10-16T23:05:41,7
10,2,10.1010101010101,2,100000,2,1,4.793576563366662e-09,9,2025-10-16T23:05:41,3
10,2,10.1010101010101,2,100000,2,1,1.1588888557491176e-08,15,2025-10-16T23:05:41,0
10,2,10.1010101010101,2,100000,2,1,1.1914167696655254e-08,9,2025-10-16T23:05:41,5
10,2,10.1010101010101,2,100000,2,1,5.28312827102917e-09,11,2025-10-16T23:05:41,8
10,2,10.1010101010101,2,100000,2,1,2.0380430631328403e-08,13,2025-10-16T23:05:41,6
10,2,10.1010101010101,2,100000,2,1,8.344938569620839e-09,15,2025-10-16T23:05:41,1
10,2,10.1010101010101,2,100000,2,2,1.2823508369932923e-08,9,2025-10-16T23:05:41,9
10,2,10.1010101010101,2,100000,2,2,2.0738906227882754e-08,6,2025-10-16T23:05:41,3
10,2,10.1010101010101,2,100000,2,2,6.308038468999808e-08,17,2025-10-16T23:05:41,10
10,2,10.1010101010101,2,100000,2,2,4.716460067060032e-09,11,2025-10-16T23:05:41,7
10,2,10.1010101010101,2,100000,2,2,3.2478129946249847e-08,13,2025-10-16T23:05:41,4
10,2,10.1010101010101,2,100000,2,2,3.110232473316552e-09,8,2025-10-16T23:05:41,0
10,2,10.1010101010101,2,100000,2,2,7.250517090933723e-10,5,2025-10-16T23:05:41,1
10,2,10.1010101010101,2,100000,2,2,1.0925046496036419e-08,9,2025-10-16T23:05:41,8
10,2,10.1010101010101,2,100000,2,2,1.3260031235211941e-08,13,2025-10-16T23:05:41,2
10,2,10.1010101010101,2,100000,2,3,5.857743714286086e-09,8,2025-10-16T23:05:41,9
10,2,10.1010101010101,2,100000,2,2,1.6904295024894962e-08,14,2025-10-16T23:05:41,5
10,2,10.1010101010101,2,100000,2,2,9.30133719911207e-09,12,2025-10-16T23:05:41,6
10,2,10.1010101010101,2,100000,2,3,6.024411369176744e-10,5,2025-10-16T23:05:41,0
