n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
6,3,10.0,2,100000,2,0,2.146480204618732e-10,6,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,0,2.0689943040699315e-10,5,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,0,3.4958801443291943e-10,5,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,0,1.3703550269983786e-10,6,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,0,2.0694777664219803e-10,6,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,0,1.0834885049802044e-10,5,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,0,2.55805739878946e-10,7,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,0,1.4096312836954676e-10,8,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,0,1.0963498834378253e-10,9,2025-10-06T15:02:13,5
6,3,10.0,2,100000,2,1,7.61800275736755e-11,4,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,0,1.911814842543719e-10,9,2025-10-06T15:02:13,4
6,3,10.0,2,100000,2,1,1.88725437690339e-10,6,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,1,3.17002585023663e-10,6,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,1,1.113744919428799e-10,6,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,0,1.2537276747269037e-10,5,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,1,1.5740164342083632e-10,5,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,1,1.5092683458152334e-10,6,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,2,1.4431836113219365e-10,5,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,2,8.511732089552482e-11,2,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,1,2.0490674921348288e-10,9,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,1,1.7393736262400819e-10,7,2025-10-06T15:02:13,4
6,3,10.0,2,100000,2,1,3.4052328342112023e-10,9,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,1,1.8599878088513924e-10,9,2025-10-06T15:02:13,5
6,3,10.0,2,100000,2,2,1.386498142450425e-10,7,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,2,1.7876195461547326e-10,8,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,2,2.3492733537021017e-10,7,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,2,1.0487079502503095e-10,5,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,1,2.9372242266066074e-10,9,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,2,1.7644377994368552e-10,4,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,3,1.3661364182986443e-10,6,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,2,7.20864621696755e-11,5,2025-10-06T15:02:13,4
6,3,10.0,2,100000,2,3,1.5374134594464806e-10,6,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,3,1.2808926055086277e-10,3,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,2,1.8080178700831047e-10,8,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,2,2.5754416071217034e-10,8,2025-10-06T15:02:13,5
6,3,10.0,2,100000,2,3,6.195508223938722e-10,8,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,3,7.737019256812756e-11,7,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,3,1.789442834030205e-10,8,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,3,3.551387894988875e-10,7,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,2,3.386084474829071e-10,7,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,4,1.5853155273963216e-10,5,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,4,2.05642193889196e-10,7,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,3,1.763742199461035e-10,8,2025-10-06T15:02:13,4
6,3,10.0,2,100000,2,4,1.2632649870826148e-10,10,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,3,1.1725809632779508e-10,5,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,3,1.2049326941052375e-10,4,2025-10-06T15:02:13,5
6,3,10.0,2,100000,2,5,8.506630478896092e-11,6,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,4,7.320988971132226e-10,7,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,4,7.595341133066998e-11,5,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,4,1.0782996751343432e-10,7,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,3,2.7520838547405133e-10,5,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,5,1.6667163280064809e-10,5,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,4,4.118611919561571e-10,9,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,5,2.051061804776643e-10,5,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,4,1.2061767961581371e-10,4,2025-10-06T15:02:13,5
6,3,10.0,2,100000,2,4,2.1347467230486147e-10,5,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,6,1.3926123251595867e-10,6,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,4,7.061185137440689e-10,11,2025-10-06T15:02:13,4
6,3,10.0,2,100000,2,6,7.402645550045578e-11,7,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,6,6.952398458300499e-10,6,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,5,9.24697777739875e-11,4,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,5,2.160497033401874e-10,4,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,7,1.0595439100311872e-10,4,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,5,5.3900866683111016e-11,8,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,5,2.144406124452274e-10,8,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,7,5.7011713799676947e-11,5,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,4,4.370527542977957e-10,8,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,7,2.8038614955022867e-10,7,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,5,1.8832143052132447e-10,6,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,8,1.7878319413412814e-10,6,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,6,1.0737221800470305e-10,8,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,5,2.1912552493022635e-10,5,2025-10-06T15:02:13,4
6,3,10.0,2,100000,2,6,5.67116173756328e-11,6,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,5,1.9108874259008759e-10,10,2025-10-06T15:02:13,5
6,3,10.0,2,100000,2,6,2.6230022548780886e-10,8,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,8,2.763086689318679e-10,5,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,8,1.242237760336236e-10,7,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,5,1.4279001147579216e-10,7,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,6,1.7231375981334966e-10,7,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,7,4.666895496617839e-11,5,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,7,1.9126886207181838e-10,6,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,9,2.7442086120100853e-10,7,2025-10-06T15:02:13,7
6,3,10.0,2,100000,2,7,7.89193285315813e-11,2,2025-10-06T15:02:13,3
6,3,10.0,2,100000,2,9,3.1114770635170864e-11,2,2025-10-06T15:02:13,2
6,3,10.0,2,100000,2,6,2.189504542601953e-10,9,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,6,1.1956629776561274e-10,7,2025-10-06T15:02:13,4
6,3,10.0,2,100000,2,9,1.6650325962400755e-10,3,2025-10-06T15:02:13,1
6,3,10.0,2,100000,2,6,2.2978979380790864e-10,4,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,8,5.1629808483161145e-11,4,2025-10-06T15:02:13,10
6,3,10.0,2,100000,2,7,1.2459481230964963e-10,4,2025-10-06T15:02:13,0
6,3,10.0,2,100000,2,6,2.351831650839694e-10,11,2025-10-06T15:02:13,5
6,3,10.0,2,100000,2,8,2.467332950742567e-10,6,2025-10-06T15:02:13,8
6,3,10.0,2,100000,2,7,3.900155136405655e-10,9,2025-10-06T15:02:13,6
6,3,10.0,2,100000,2,7,1.312929439045943e-10,5,2025-10-06T15:02:13,9
6,3,10.0,2,100000,2,8,4.3159875537051785e-10,9,2025-10-06T15:02:13,3
