n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
10,5,0.0,2,100000,2,0,0.0,7,2025-10-16T22:54:19,2
10,5,0.0,2,100000,2,0,0.0,12,2025-10-16T22:54:19,0
10,5,0.0,2,100000,2,0,0.0,10,2025-10-16T22:54:19,4
10,5,0.0,2,100000,2,0,0.0,11,2025-10-16T22:54:19,1
10,5,0.0,2,100000,2,1,0.0,7,2025-10-16T22:54:20,0
10,5,0.0,2,100000,2,1,0.0,11,2025-10-16T22:54:20,2
10,5,0.0,2,100000,2,1,0.0,10,2025-10-16T22:54:20,4
10,5,0.0,2,100000,2,0,0.0,15,2025-10-16T22:54:20,7
10,5,0.0,2,100000,2,2,0.0,5,2025-10-16T22:54:20,2
10,5,0.0,2,100000,2,1,0.0,15,2025-10-16T22:54:20,1
10,5,0.0,2,100000,2,0,0.0,11,2025-10-16T22:54:20,9
10,5,0.0,2,100000,2,0,0.0,12,2025-10-16T22:54:20,5
10,5,0.0,2,100000,2,2,0.0,13,2025-10-16T22:54:20,0
10,5,0.0,2,100000,2,1,0.0,9,2025-10-16T22:54:20,7
10,5,0.0,2,100000,2,3,0.0,10,2025-10-16T22:54:20,2
10,5,0.0,2,100000,2,1,0.0,7,2025-10-16T22:54:20,9
10,5,0.0,2,100000,2,0,0.0,13,2025-10-16T22:54:20,3
10,5,0.0,2,100000,2,2,0.0,14,2025-10-16T22:54:20,4
10,5,0.0,2,100000,2,0,0.0,11,2025-10-16T22:54:20,10
10,5,0.0,2,100000,2,0,0.0,14,2025-10-16T22:54:20,6
10,5,0.0,2,100000,2,0,0.0,16,2025-10-16T22:54:20,8
10,5,0.0,2,100000,2,2,0.0,14,2025-10-16T22:54:20,1
10,5,0.0,2,100000,2,2,0.0,8,2025-10-16T22:54:20,9
10,5,0.0,2,100000,2,3,0.0,10,2025-10-16T22:54:20,0
10,5,0.0,2,100000,2,1,0.0,6,2025-10-16T22:54:20,3
10,5,0.0,2,100000,2,4,0.0,7,2025-10-16T22:54:20,2
10,5,0.0,2,100000,2,1,0.0,13,2025-10-16T22:54:20,5
10,5,0.0,2,100000,2,3,0.0,12,2025-10-16T22:54:20,4
10,5,0.0,2,100000,2,2,0.0,16,2025-10-16T22:54:20,7
10,5,0.0,2,100000,2,3,0.0,7,2025-10-16T22:54:20,9
10,5,0.0,2,100000,2,1,0.0,9,2025-10-16T22:54:20,8
10,5,0.0,2,100000,2,2,0.0,9,2025-10-16T22:54:20,3
10,5,0.0,2,100000,2,2,0.0,6,2025-10-16T22:54:20,5
10,5,0.0,2,100000,2,1,0.0,16,2025-10-16T22:54:20,6
10,5,0.0,2,100000,2,4,0.0,10,2025-10-16T22:54:20,0
10,5,0.0,2,100000,2,1,0.0,16,2025-10-16T22:54:20,10
10,5,0.0,2,100000,2,3,0.0,13,2025-10-16T22:54:20,1
10,5,0.0,2,100000,2,5,0.0,11,2025-10-16T22:54:20,2
10,5,0.0,2,100000,2,4,0.0,8,2025-10-16T22:54:20,4
10,5,0.0,2,100000,2,2,0.0,10,2025-10-16T22:54:20,8
10,5,0.0,2,100000,2,3,0.0,12,2025-10-16T22:54:20,7
10,5,0.0,2,100000,2,2,0.0,9,2025-10-16T22:54:20,6
10,5,0.0,2,100000,2,6,0.0,6,2025-10-16T22:54:20,2
10,5,0.0,2,100000,2,5,0.0,7,2025-10-16T22:54:20,0
10,5,0.0,2,100000,2,4,0.0,16,2025-10-16T22:54:20,9
10,5,0.0,2,100000,2,3,0.0,12,2025-10-16T22:54:20,5
10,5,0.0,2,100000,2,2,0.0,11,2025-10-16T22:54:20,10
10,5,0.0,2,100000,2,4,0.0,10,2025-10-16T22:54:20,1
10,5,0.0,2,100000,2,3,0.0,16,2025-10-16T22:54:20,3
10,5,0.0,2,100000,2,3,0.0,9,2025-10-16T22:54:20,8
10,5,0.0,2,100000,2,4,0.0,11,2025-10-16T22:54:20,7
10,5,0.0,2,100000,2,7,0.0,7,2025-10-16T22:54:20,2
10,5,0.0,2,100000,2,5,0.0,9,2025-10-16T22:54:20,9
10,5,0.0,2,100000,2,5,0.0,14,2025-10-16T22:54:20,4
10,5,0.0,2,100000,2,6,0.0,9,2025-10-16T22:54:20,0
10,5,0.0,2,100000,2,4,0.0,4,2025-10-16T22:54:20,8
