n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
6,6,10.0,1,100000,2,0,1.04065228667881e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,1,8.921044497620677e-12,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,0,3.0939869132995825e-11,1,2025-10-25T11:10:16,2
6,6,10.0,1,100000,2,2,3.8865407846602434e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,0,2.225148202449495e-11,1,2025-10-25T11:10:16,1
6,6,10.0,1,100000,2,0,8.038334889905428e-12,1,2025-10-25T11:10:16,3
6,6,10.0,1,100000,2,1,2.3169944312855808e-11,1,2025-10-25T11:10:16,2
6,6,10.0,1,100000,2,3,2.312207497541218e-12,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,1,5.663867813372395e-11,1,2025-10-25T11:10:16,1
6,6,10.0,1,100000,2,4,2.2169239568433896e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,0,5.160849203720587e-11,1,2025-10-25T11:10:16,4
6,6,10.0,1,100000,2,2,7.799649724629438e-12,1,2025-10-25T11:10:16,2
6,6,10.0,1,100000,2,2,1.0360676788531231e-11,1,2025-10-25T11:10:16,1
6,6,10.0,1,100000,2,1,4.457751020980545e-11,1,2025-10-25T11:10:16,3
6,6,10.0,1,100000,2,0,3.039504594864461e-11,1,2025-10-25T11:10:16,5
6,6,10.0,1,100000,2,3,6.032415228422533e-11,1,2025-10-25T11:10:16,2
6,6,10.0,1,100000,2,2,2.286090563218449e-11,1,2025-10-25T11:10:16,3
6,6,10.0,1,100000,2,1,4.1393923890402805e-12,1,2025-10-25T11:10:16,4
6,6,10.0,1,100000,2,5,1.1259250172765612e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,6,3.80629835773207e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,7,2.8371369768142522e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,1,5.488627291197086e-12,1,2025-10-25T11:10:16,5
6,6,10.0,1,100000,2,0,1.0214083680899002e-11,1,2025-10-25T11:10:16,6
6,6,10.0,1,100000,2,3,5.736924507562579e-12,1,2025-10-25T11:10:16,1
6,6,10.0,1,100000,2,8,1.2598606555704e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,9,3.977741843091584e-11,1,2025-10-25T11:10:16,0
6,6,10.0,1,100000,2,4,1.7128099296624855e-12,1,2025-10-25T11:10:16,2
6,6,10.0,1,100000,2,3,2.2097783626542526e-11,1,2025-10-25T11:10:16,3
6,6,10.0,1,100000,2,5,2.4134898747878576e-11,1,2025-10-25T11:10:16,2
6,6,10.0,1,100000,2,4,1.8873802102915126e-11,1,2025-10-25T11:10:16,1
6,6,10.0,1,100000,2,4,3.3265362082358066e-11,1,2025-10-25T11:10:16,3
6,6,10.0,1,100000,2,6,1.0339062985992698e-11,1,2025-10-25T11:10:16,2
6,6,10.0,1,100000,2,5,2.9872786519508116e-11,1,2025-10-25T11:10:16,1
6,6,10.0,1,100000,2,5,4.422876848393404e-11,1,2025-10-25T11:10:16,3
6,6,10.0,1,100000,2,2,1.9840089505650357e-11,1,2025-10-25T11:10:16,4
6,6,10.0,1,100000,2,7,6.188991037239317e-12,1,2025-10-25T11:10:16,2
