n,k,t,l,r,p,rep,norm,timestamp,worker
6,2,10.0,2,100000,2,0,1.3213543876704215e-09,2025-10-03T21:36:13,2
6,2,10.0,2,100000,2,0,9.147212263422179e-10,2025-10-03T21:36:13,3
6,2,10.0,2,100000,2,1,1.5390213780511218e-09,2025-10-03T21:36:14,2
6,2,10.0,2,100000,2,1,2.142065279672731e-09,2025-10-03T21:36:14,3
6,2,10.0,2,100000,2,2,2.5566705393789825e-09,2025-10-03T21:36:14,2
6,2,10.0,2,100000,2,2,1.0943300483159402e-09,2025-10-03T21:36:14,3
6,2,10.0,2,100000,2,0,1.9811227796239106e-09,2025-10-03T21:36:14,0
6,2,10.0,2,100000,2,0,2.5522270796876767e-09,2025-10-03T21:36:14,5
6,2,10.0,2,100000,2,3,2.943273769342778e-09,2025-10-03T21:36:14,2
6,2,10.0,2,100000,2,0,4.004407208165327e-09,2025-10-03T21:36:14,10
6,2,10.0,2,100000,2,3,1.0252241839815523e-09,2025-10-03T21:36:14,3
6,2,10.0,2,100000,2,0,1.6872245944591188e-09,2025-10-03T21:36:14,7
6,2,10.0,2,100000,2,0,1.1955974243253458e-09,2025-10-03T21:36:14,9
6,2,10.0,2,100000,2,1,1.8164839962541152e-09,2025-10-03T21:36:14,0
6,2,10.0,2,100000,2,1,3.0748671623643154e-09,2025-10-03T21:36:14,5
6,2,10.0,2,100000,2,0,7.835770192915631e-09,2025-10-03T21:36:14,8
6,2,10.0,2,100000,2,0,6.352202923758242e-09,2025-10-03T21:36:14,6
6,2,10.0,2,100000,2,0,1.4800319433053362e-09,2025-10-03T21:36:14,4
6,2,10.0,2,100000,2,1,1.9873206458262265e-09,2025-10-03T21:36:14,10
6,2,10.0,2,100000,2,0,1.89418483162013e-09,2025-10-03T21:36:14,1
6,2,10.0,2,100000,2,2,2.554364097848884e-09,2025-10-03T21:36:14,5
6,2,10.0,2,100000,2,2,7.385009565795304e-10,2025-10-03T21:36:14,0
6,2,10.0,2,100000,2,1,3.18018931749484e-09,2025-10-03T21:36:14,6
6,2,10.0,2,100000,2,1,1.1470211268309469e-09,2025-10-03T21:36:14,7
6,2,10.0,2,100000,2,2,2.1544995151440258e-09,2025-10-03T21:36:14,10
6,2,10.0,2,100000,2,1,3.981088939669807e-09,2025-10-03T21:36:14,1
6,2,10.0,2,100000,2,1,1.893715194390407e-09,2025-10-03T21:36:14,9
6,2,10.0,2,100000,2,1,2.5912294598119777e-09,2025-10-03T21:36:14,8
6,2,10.0,2,100000,2,1,3.3435904123239916e-09,2025-10-03T21:36:14,4
6,2,10.0,2,100000,2,3,1.3542881438203387e-09,2025-10-03T21:36:14,5
6,2,10.0,2,100000,2,3,4.924978583131209e-09,2025-10-03T21:36:14,0
6,2,10.0,2,100000,2,3,5.779426235280369e-09,2025-10-03T21:36:14,10
6,2,10.0,2,100000,2,2,4.715703560053369e-09,2025-10-03T21:36:14,7
6,2,10.0,2,100000,2,2,1.8165784275373406e-09,2025-10-03T21:36:14,6
6,2,10.0,2,100000,2,2,2.2054927158568357e-09,2025-10-03T21:36:14,8
6,2,10.0,2,100000,2,2,4.7586980400049e-09,2025-10-03T21:36:14,9
6,2,10.0,2,100000,2,2,2.6281164565281945e-09,2025-10-03T21:36:14,1
6,2,10.0,2,100000,2,2,1.1298487965237123e-09,2025-10-03T21:36:14,4
6,2,10.0,2,100000,2,3,2.9274506164427418e-09,2025-10-03T21:36:14,6
6,2,10.0,2,100000,2,3,5.634366198551635e-09,2025-10-03T21:36:14,8
6,2,10.0,2,100000,2,3,1.9721503403391175e-09,2025-10-03T21:36:14,9
6,2,10.0,2,100000,2,3,4.0737999826169414e-09,2025-10-03T21:36:14,1
6,2,10.0,2,100000,2,3,1.6665835207091428e-09,2025-10-03T21:36:14,4
6,2,10.0,2,100000,2,3,6.8553944960882985e-09,2025-10-03T21:36:14,7
8,2,10.0,2,100000,2,0,4.4839504490354145e-09,2025-10-03T21:36:14,8
8,2,10.0,2,100000,2,0,7.554383508811855e-09,2025-10-03T21:36:14,10
8,2,10.0,2,100000,2,0,5.858491688557973e-09,2025-10-03T21:36:14,3
8,2,10.0,2,100000,2,0,4.434907026418732e-09,2025-10-03T21:36:14,2
8,2,10.0,2,100000,2,0,3.433526858671383e-09,2025-10-03T21:36:14,5
8,2,10.0,2,100000,2,0,2.995075960042651e-09,2025-10-03T21:36:14,6
8,2,10.0,2,100000,2,0,1.483070631419085e-08,2025-10-03T21:36:14,4
8,2,10.0,2,100000,2,0,3.744694830209175e-09,2025-10-03T21:36:14,0
8,2,10.0,2,100000,2,0,6.350684015293739e-09,2025-10-03T21:36:14,7
8,2,10.0,2,100000,2,0,1.0445251924386958e-08,2025-10-03T21:36:14,9
8,2,10.0,2,100000,2,0,6.866335822258438e-09,2025-10-03T21:36:14,1
8,2,10.0,2,100000,2,1,6.650737563544718e-09,2025-10-03T21:36:14,10
8,2,10.0,2,100000,2,1,2.5473929849438814e-09,2025-10-03T21:36:14,2
8,2,10.0,2,100000,2,1,4.46370549373876e-09,2025-10-03T21:36:14,3
8,2,10.0,2,100000,2,1,3.4206886730781e-09,2025-10-03T21:36:14,7
8,2,10.0,2,100000,2,1,7.128647073390833e-09,2025-10-03T21:36:14,6
8,2,10.0,2,100000,2,1,1.0674998655731288e-08,2025-10-03T21:36:14,5
8,2,10.0,2,100000,2,1,4.1163846336257964e-09,2025-10-03T21:36:14,8
8,2,10.0,2,100000,2,1,3.780437651142991e-09,2025-10-03T21:36:14,9
8,2,10.0,2,100000,2,1,1.833609562403051e-09,2025-10-03T21:36:14,4
8,2,10.0,2,100000,2,1,6.559753895733392e-09,2025-10-03T21:36:14,0
8,2,10.0,2,100000,2,1,3.786188584396472e-09,2025-10-03T21:36:14,1
8,2,10.0,2,100000,2,2,7.12948847071651e-09,2025-10-03T21:36:15,2
8,2,10.0,2,100000,2,2,4.47923560087391e-09,2025-10-03T21:36:15,3
8,2,10.0,2,100000,2,2,8.167575305759941e-09,2025-10-03T21:36:15,10
8,2,10.0,2,100000,2,2,6.021116436135824e-09,2025-10-03T21:36:15,8
8,2,10.0,2,100000,2,2,4.011756039579078e-09,2025-10-03T21:36:15,5
8,2,10.0,2,100000,2,2,4.992928887382961e-09,2025-10-03T21:36:15,9
8,2,10.0,2,100000,2,2,6.118026132451423e-09,2025-10-03T21:36:15,7
8,2,10.0,2,100000,2,2,7.0456709493492115e-09,2025-10-03T21:36:15,4
8,2,10.0,2,100000,2,2,3.872528035015995e-09,2025-10-03T21:36:15,6
8,2,10.0,2,100000,2,2,3.411238638918348e-09,2025-10-03T21:36:15,1
8,2,10.0,2,100000,2,2,4.836168932472321e-09,2025-10-03T21:36:15,0
8,2,10.0,2,100000,2,3,5.278228467470093e-09,2025-10-03T21:36:15,10
8,2,10.0,2,100000,2,3,5.5768345815568695e-09,2025-10-03T21:36:15,9
8,2,10.0,2,100000,2,3,5.373181979673267e-09,2025-10-03T21:36:15,2
8,2,10.0,2,100000,2,3,8.164211190128996e-09,2025-10-03T21:36:15,4
8,2,10.0,2,100000,2,3,6.747409260517555e-09,2025-10-03T21:36:15,8
8,2,10.0,2,100000,2,3,4.8683308007251335e-09,2025-10-03T21:36:15,3
8,2,10.0,2,100000,2,3,6.623566262676486e-09,2025-10-03T21:36:15,5
8,2,10.0,2,100000,2,3,1.0967365216716834e-08,2025-10-03T21:36:15,6
8,2,10.0,2,100000,2,3,3.8013214760802225e-09,2025-10-03T21:36:15,7
8,2,10.0,2,100000,2,3,7.203729537252759e-09,2025-10-03T21:36:15,1
8,2,10.0,2,100000,2,3,4.318617765933217e-09,2025-10-03T21:36:15,0
10,2,10.0,2,100000,2,0,7.129875847421388e-09,2025-10-03T21:36:15,10
10,2,10.0,2,100000,2,0,8.291340606808564e-09,2025-10-03T21:36:15,1
10,2,10.0,2,100000,2,0,1.1819608075990972e-08,2025-10-03T21:36:15,6
10,2,10.0,2,100000,2,0,6.6051901777912665e-09,2025-10-03T21:36:15,9
10,2,10.0,2,100000,2,0,7.504316318111406e-09,2025-10-03T21:36:15,3
10,2,10.0,2,100000,2,0,9.006004493622872e-09,2025-10-03T21:36:15,4
10,2,10.0,2,100000,2,0,6.654266624788376e-09,2025-10-03T21:36:15,2
10,2,10.0,2,100000,2,0,5.474936419862551e-09,2025-10-03T21:36:15,5
10,2,10.0,2,100000,2,0,8.950725257465923e-09,2025-10-03T21:36:15,7
10,2,10.0,2,100000,2,0,6.603655900140194e-09,2025-10-03T21:36:15,8
10,2,10.0,2,100000,2,0,8.71167696559718e-09,2025-10-03T21:36:15,0
10,2,10.0,2,100000,2,1,6.382249390695672e-09,2025-10-03T21:36:16,10
10,2,10.0,2,100000,2,1,8.032981263679306e-09,2025-10-03T21:36:16,9
10,2,10.0,2,100000,2,1,4.414813745174721e-09,2025-10-03T21:36:16,1
10,2,10.0,2,100000,2,1,7.359801315556617e-09,2025-10-03T21:36:16,3
10,2,10.0,2,100000,2,1,1.0080879866030777e-08,2025-10-03T21:36:16,6
10,2,10.0,2,100000,2,1,6.785283121701924e-09,2025-10-03T21:36:16,2
10,2,10.0,2,100000,2,1,9.623081511430712e-09,2025-10-03T21:36:16,0
10,2,10.0,2,100000,2,1,7.680986339133768e-09,2025-10-03T21:36:16,7
10,2,10.0,2,100000,2,1,9.13483364501851e-09,2025-10-03T21:36:16,4
10,2,10.0,2,100000,2,1,8.963129438994492e-09,2025-10-03T21:36:16,5
10,2,10.0,2,100000,2,1,3.983028205441831e-09,2025-10-03T21:36:16,8
10,2,10.0,2,100000,2,2,8.801089987446074e-09,2025-10-03T21:36:16,9
10,2,10.0,2,100000,2,2,1.7769537917119912e-08,2025-10-03T21:36:16,10
10,2,10.0,2,100000,2,2,7.598021762218259e-09,2025-10-03T21:36:16,3
10,2,10.0,2,100000,2,2,1.0031704410053484e-08,2025-10-03T21:36:16,6
10,2,10.0,2,100000,2,2,4.217704591068163e-09,2025-10-03T21:36:16,1
