n,k,t,l,r,p,rep,norm,timestamp,worker
6,6,10.0,2,100000,2,0,2.3768931974697007e-11,2025-10-03T17:10:36,3
6,6,10.0,2,100000,2,1,5.923919149651028e-11,2025-10-03T17:10:36,3
6,6,10.0,2,100000,2,0,3.050220568351029e-11,2025-10-03T17:10:36,2
6,6,10.0,2,100000,2,2,8.809284520984694e-11,2025-10-03T17:10:36,3
6,6,10.0,2,100000,2,1,5.771378754597295e-11,2025-10-03T17:10:36,2
6,6,10.0,2,100000,2,3,3.0463324074296435e-11,2025-10-03T17:10:36,3
6,6,10.0,2,100000,2,2,1.9705375010366403e-11,2025-10-03T17:10:36,2
6,6,10.0,2,100000,2,3,5.4084101688175183e-11,2025-10-03T17:10:36,2
6,6,10.0,2,100000,2,0,9.646231835731257e-12,2025-10-03T17:10:36,1
6,6,10.0,2,100000,2,1,4.0924348482670106e-11,2025-10-03T17:10:36,1
6,6,10.0,2,100000,2,2,3.7653336939745807e-11,2025-10-03T17:10:36,1
6,6,10.0,2,100000,2,3,6.713515966772476e-11,2025-10-03T17:10:36,1
6,6,10.0,2,100000,2,0,5.852878523154404e-11,2025-10-03T17:10:36,0
6,6,10.0,2,100000,2,0,2.7922271537075406e-11,2025-10-03T17:10:36,6
6,6,10.0,2,100000,2,1,3.345690009930774e-11,2025-10-03T17:10:36,0
6,6,10.0,2,100000,2,1,4.316478642774936e-12,2025-10-03T17:10:36,6
6,6,10.0,2,100000,2,2,5.7299250897998445e-11,2025-10-03T17:10:36,0
6,6,10.0,2,100000,2,3,2.3005170498167104e-11,2025-10-03T17:10:36,0
6,6,10.0,2,100000,2,2,2.4635865596588238e-11,2025-10-03T17:10:36,6
6,6,10.0,2,100000,2,3,6.3216015614013165e-12,2025-10-03T17:10:36,6
6,6,10.0,2,100000,2,0,4.294322901039724e-11,2025-10-03T17:10:36,4
6,6,10.0,2,100000,2,1,3.812895342787153e-11,2025-10-03T17:10:36,4
6,6,10.0,2,100000,2,2,2.629192843443177e-11,2025-10-03T17:10:36,4
6,6,10.0,2,100000,2,3,6.214478248996993e-11,2025-10-03T17:10:36,4
6,6,10.0,2,100000,2,0,4.9236771326436347e-11,2025-10-03T17:10:36,9
6,6,10.0,2,100000,2,1,1.2107508773130965e-10,2025-10-03T17:10:36,9
6,6,10.0,2,100000,2,2,4.6554859997957127e-11,2025-10-03T17:10:36,9
6,6,10.0,2,100000,2,3,3.8318215556339876e-11,2025-10-03T17:10:36,9
6,6,10.0,2,100000,2,0,2.1575188342538402e-11,2025-10-03T17:10:36,5
6,6,10.0,2,100000,2,0,3.8910813615014326e-11,2025-10-03T17:10:36,7
6,6,10.0,2,100000,2,1,7.261481314181438e-11,2025-10-03T17:10:36,5
6,6,10.0,2,100000,2,1,4.1258653580664026e-11,2025-10-03T17:10:36,7
6,6,10.0,2,100000,2,2,7.360978929415276e-11,2025-10-03T17:10:36,5
6,6,10.0,2,100000,2,2,5.15679068088035e-12,2025-10-03T17:10:36,7
6,6,10.0,2,100000,2,3,8.175848646703694e-11,2025-10-03T17:10:36,5
6,6,10.0,2,100000,2,3,4.138315684417861e-12,2025-10-03T17:10:36,7
6,6,10.0,2,100000,2,0,1.266514754704767e-12,2025-10-03T17:10:36,8
6,6,10.0,2,100000,2,0,4.0037991704621993e-11,2025-10-03T17:10:36,10
6,6,10.0,2,100000,2,1,3.9903557094361796e-11,2025-10-03T17:10:36,8
6,6,10.0,2,100000,2,1,2.0157147158307082e-11,2025-10-03T17:10:36,10
6,6,10.0,2,100000,2,2,8.330473606520203e-11,2025-10-03T17:10:36,8
6,6,10.0,2,100000,2,2,5.338897412579651e-11,2025-10-03T17:10:36,10
6,6,10.0,2,100000,2,3,3.2698569713566853e-11,2025-10-03T17:10:36,8
6,6,10.0,2,100000,2,3,4.075964213574521e-11,2025-10-03T17:10:36,10
8,6,10.0,2,100000,2,0,1.902258986029368e-10,2025-10-03T17:10:36,9
8,6,10.0,2,100000,2,0,2.5012437199098464e-10,2025-10-03T17:10:36,5
8,6,10.0,2,100000,2,0,1.5419911967281794e-10,2025-10-03T17:10:36,6
8,6,10.0,2,100000,2,0,2.5936474121824875e-10,2025-10-03T17:10:36,3
8,6,10.0,2,100000,2,0,4.312394797813451e-10,2025-10-03T17:10:36,1
8,6,10.0,2,100000,2,0,2.201476540006473e-10,2025-10-03T17:10:36,10
8,6,10.0,2,100000,2,0,4.760870967700632e-10,2025-10-03T17:10:36,7
8,6,10.0,2,100000,2,0,8.002551486095645e-10,2025-10-03T17:10:36,4
8,6,10.0,2,100000,2,0,2.6348038871298336e-10,2025-10-03T17:10:36,2
8,6,10.0,2,100000,2,0,3.3364131302367745e-10,2025-10-03T17:10:36,0
8,6,10.0,2,100000,2,0,2.4320378204899315e-10,2025-10-03T17:10:36,8
8,6,10.0,2,100000,2,1,5.076336912076128e-10,2025-10-03T17:10:36,9
8,6,10.0,2,100000,2,1,4.2004256911361787e-10,2025-10-03T17:10:36,7
8,6,10.0,2,100000,2,1,4.3184458014917195e-10,2025-10-03T17:10:36,5
