n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
10,4,0.0,2,100000,2,0,0.0,10,2025-10-16T22:56:57,3
10,4,0.0,2,100000,2,0,0.0,15,2025-10-16T22:56:57,2
10,4,0.0,2,100000,2,1,0.0,2,2025-10-16T22:56:57,3
10,4,0.0,2,100000,2,0,0.0,8,2025-10-16T22:56:57,7
10,4,0.0,2,100000,2,0,0.0,13,2025-10-16T22:56:57,0
10,4,0.0,2,100000,2,0,0.0,13,2025-10-16T22:56:57,1
10,4,0.0,2,100000,2,0,0.0,9,2025-10-16T22:56:57,5
10,4,0.0,2,100000,2,0,0.0,13,2025-10-16T22:56:57,10
10,4,0.0,2,100000,2,0,0.0,11,2025-10-16T22:56:57,4
10,4,0.0,2,100000,2,1,0.0,7,2025-10-16T22:56:57,0
10,4,0.0,2,100000,2,0,0.0,10,2025-10-16T22:56:57,9
10,4,0.0,2,100000,2,1,0.0,6,2025-10-16T22:56:57,1
10,4,0.0,2,100000,2,0,0.0,13,2025-10-16T22:56:57,6
10,4,0.0,2,100000,2,1,0.0,10,2025-10-16T22:56:57,2
10,4,0.0,2,100000,2,0,0.0,12,2025-10-16T22:56:57,8
10,4,0.0,2,100000,2,1,0.0,12,2025-10-16T22:56:57,7
10,4,0.0,2,100000,2,2,0.0,6,2025-10-16T22:56:57,0
10,4,0.0,2,100000,2,2,0.0,13,2025-10-16T22:56:57,3
10,4,0.0,2,100000,2,1,0.0,10,2025-10-16T22:56:57,5
10,4,0.0,2,100000,2,1,0.0,8,2025-10-16T22:56:57,6
10,4,0.0,2,100000,2,1,0.0,14,2025-10-16T22:56:57,4
10,4,0.0,2,100000,2,1,0.0,12,2025-10-16T22:56:57,10
10,4,0.0,2,100000,2,1,0.0,8,2025-10-16T22:56:57,8
10,4,0.0,2,100000,2,3,0.0,7,2025-10-16T22:56:57,0
10,4,0.0,2,100000,2,2,0.0,11,2025-10-16T22:56:57,2
10,4,0.0,2,100000,2,2,0.0,12,2025-10-16T22:56:57,1
10,4,0.0,2,100000,2,3,0.0,7,2025-10-16T22:56:57,3
10,4,0.0,2,100000,2,1,0.0,15,2025-10-16T22:56:57,9
10,4,0.0,2,100000,2,2,0.0,11,2025-10-16T22:56:57,5
10,4,0.0,2,100000,2,2,0.0,12,2025-10-16T22:56:57,7
10,4,0.0,2,100000,2,2,0.0,9,2025-10-16T22:56:57,6
10,4,0.0,2,100000,2,2,0.0,8,2025-10-16T22:56:57,4
10,4,0.0,2,100000,2,2,0.0,9,2025-10-16T22:56:57,10
10,4,0.0,2,100000,2,4,0.0,7,2025-10-16T22:56:58,3
10,4,0.0,2,100000,2,2,0.0,10,2025-10-16T22:56:58,8
10,4,0.0,2,100000,2,3,0.0,5,2025-10-16T22:56:58,4
10,4,0.0,2,100000,2,3,0.0,10,2025-10-16T22:56:58,1
10,4,0.0,2,100000,2,2,0.0,10,2025-10-16T22:56:58,9
10,4,0.0,2,100000,2,3,0.0,10,2025-10-16T22:56:58,6
10,4,0.0,2,100000,2,3,0.0,9,2025-10-16T22:56:58,5
10,4,0.0,2,100000,2,3,0.0,12,2025-10-16T22:56:58,2
10,4,0.0,2,100000,2,4,0.0,14,2025-10-16T22:56:58,0
10,4,0.0,2,100000,2,5,0.0,10,2025-10-16T22:56:58,3
10,4,0.0,2,100000,2,3,0.0,12,2025-10-16T22:56:58,10
10,4,0.0,2,100000,2,3,0.0,14,2025-10-16T22:56:58,7
10,4,0.0,2,100000,2,4,0.0,8,2025-10-16T22:56:58,4
10,4,0.0,2,100000,2,3,0.0,9,2025-10-16T22:56:58,9
10,4,0.0,2,100000,2,3,0.0,12,2025-10-16T22:56:58,8
10,4,0.0,2,100000,2,4,0.0,13,2025-10-16T22:56:58,1
10,4,0.0,2,100000,2,4,0.0,12,2025-10-16T22:56:58,5
10,4,0.0,2,100000,2,4,0.0,12,2025-10-16T22:56:58,6
10,4,0.0,2,100000,2,4,0.0,6,2025-10-16T22:56:58,8
10,4,0.0,2,100000,2,5,0.0,15,2025-10-16T22:56:58,0
10,4,0.0,2,100000,2,4,0.0,10,2025-10-16T22:56:58,7
10,4,0.0,2,100000,2,5,0.0,9,2025-10-16T22:56:58,4
10,4,0.0,2,100000,2,4,0.0,13,2025-10-16T22:56:58,2
10,4,0.0,2,100000,2,5,0.0,7,2025-10-16T22:56:58,1
10,4,0.0,2,100000,2,6,0.0,13,2025-10-16T22:56:58,3
10,4,0.0,2,100000,2,5,0.0,7,2025-10-16T22:56:58,5
10,4,0.0,2,100000,2,4,0.0,10,2025-10-16T22:56:58,9
10,4,0.0,2,100000,2,4,0.0,15,2025-10-16T22:56:58,10
10,4,0.0,2,100000,2,6,0.0,8,2025-10-16T22:56:58,0
10,4,0.0,2,100000,2,5,0.0,11,2025-10-16T22:56:58,6
10,4,0.0,2,100000,2,7,0.0,4,2025-10-16T22:56:58,3
10,4,0.0,2,100000,2,5,0.0,13,2025-10-16T22:56:58,8
10,4,0.0,2,100000,2,6,0.0,10,2025-10-16T22:56:58,4
10,4,0.0,2,100000,2,5,0.0,6,2025-10-16T22:56:58,9
10,4,0.0,2,100000,2,5,0.0,10,2025-10-16T22:56:58,7
10,4,0.0,2,100000,2,5,0.0,12,2025-10-16T22:56:58,2
10,4,0.0,2,100000,2,6,0.0,11,2025-10-16T22:56:58,1
10,4,0.0,2,100000,2,7,0.0,7,2025-10-16T22:56:58,0
10,4,0.0,2,100000,2,8,0.0,11,2025-10-16T22:56:58,3
10,4,0.0,2,100000,2,6,0.0,6,2025-10-16T22:56:58,7
10,4,0.0,2,100000,2,6,0.0,8,2025-10-16T22:56:58,9
10,4,0.0,2,100000,2,6,0.0,12,2025-10-16T22:56:58,6
10,4,0.0,2,100000,2,7,0.0,8,2025-10-16T22:56:58,4
10,4,0.0,2,100000,2,5,0.0,14,2025-10-16T22:56:58,10
10,4,0.0,2,100000,2,6,0.0,16,2025-10-16T22:56:58,5
10,4,0.0,2,100000,2,7,0.0,9,2025-10-16T22:56:58,1
