n,k,t,l,r,p,rep,norm,timestamp,worker
6,3,10.0,2,100000,2,0,3.236598757192002e-10,2025-10-03T21:44:24,0
6,3,10.0,2,100000,2,1,2.919660219646135e-10,2025-10-03T21:44:24,0
6,3,10.0,2,100000,2,0,2.0699917410473113e-10,2025-10-03T21:44:24,5
6,3,10.0,2,100000,2,2,3.68382248074245e-10,2025-10-03T21:44:24,0
6,3,10.0,2,100000,2,1,2.8900705731568383e-10,2025-10-03T21:44:24,5
6,3,10.0,2,100000,2,3,2.956732686448618e-10,2025-10-03T21:44:25,0
6,3,10.0,2,100000,2,2,2.0473619327574443e-10,2025-10-03T21:44:25,5
6,3,10.0,2,100000,2,0,2.2720660226674473e-10,2025-10-03T21:44:25,9
6,3,10.0,2,100000,2,0,3.745289733724822e-10,2025-10-03T21:44:25,4
6,3,10.0,2,100000,2,0,2.782107322838255e-10,2025-10-03T21:44:25,8
6,3,10.0,2,100000,2,0,3.161160120617745e-10,2025-10-03T21:44:25,2
6,3,10.0,2,100000,2,0,3.463087523777448e-10,2025-10-03T21:44:25,1
6,3,10.0,2,100000,2,0,4.0469734606532614e-10,2025-10-03T21:44:25,3
6,3,10.0,2,100000,2,0,5.150091397032655e-10,2025-10-03T21:44:25,10
6,3,10.0,2,100000,2,0,3.35368378702462e-10,2025-10-03T21:44:25,6
6,3,10.0,2,100000,2,3,3.040704219789012e-10,2025-10-03T21:44:25,5
6,3,10.0,2,100000,2,1,2.261686030714977e-10,2025-10-03T21:44:25,9
6,3,10.0,2,100000,2,1,2.8014439995935253e-10,2025-10-03T21:44:25,4
6,3,10.0,2,100000,2,1,2.167954509380722e-10,2025-10-03T21:44:25,2
6,3,10.0,2,100000,2,1,3.793370015381087e-10,2025-10-03T21:44:25,8
6,3,10.0,2,100000,2,0,3.1363756682754924e-10,2025-10-03T21:44:25,7
6,3,10.0,2,100000,2,1,3.570554898024175e-10,2025-10-03T21:44:25,1
6,3,10.0,2,100000,2,1,3.7965956465083397e-10,2025-10-03T21:44:25,3
6,3,10.0,2,100000,2,1,2.2386986468554291e-10,2025-10-03T21:44:25,6
6,3,10.0,2,100000,2,1,2.551224976198505e-10,2025-10-03T21:44:25,10
6,3,10.0,2,100000,2,2,1.9930478825003726e-10,2025-10-03T21:44:25,9
6,3,10.0,2,100000,2,2,2.5051791967768625e-10,2025-10-03T21:44:25,4
6,3,10.0,2,100000,2,2,2.1713314602875484e-10,2025-10-03T21:44:25,2
6,3,10.0,2,100000,2,1,2.994002265307171e-10,2025-10-03T21:44:25,7
6,3,10.0,2,100000,2,2,1.6678952709764277e-10,2025-10-03T21:44:25,1
6,3,10.0,2,100000,2,2,3.958235184585984e-10,2025-10-03T21:44:25,8
6,3,10.0,2,100000,2,2,3.0548904222555054e-10,2025-10-03T21:44:25,3
6,3,10.0,2,100000,2,2,2.5464803945515055e-10,2025-10-03T21:44:25,10
6,3,10.0,2,100000,2,2,2.587367163033957e-10,2025-10-03T21:44:25,6
6,3,10.0,2,100000,2,3,2.189595456133856e-10,2025-10-03T21:44:25,4
6,3,10.0,2,100000,2,3,2.5236783376263944e-10,2025-10-03T21:44:25,2
6,3,10.0,2,100000,2,3,3.2306392414877995e-10,2025-10-03T21:44:25,9
6,3,10.0,2,100000,2,3,3.0864982416141434e-10,2025-10-03T21:44:25,1
6,3,10.0,2,100000,2,3,3.2938140684302655e-10,2025-10-03T21:44:25,8
6,3,10.0,2,100000,2,3,1.8825027853856555e-10,2025-10-03T21:44:25,3
6,3,10.0,2,100000,2,3,2.4672531012114053e-10,2025-10-03T21:44:25,10
6,3,10.0,2,100000,2,3,1.9076787016734086e-10,2025-10-03T21:44:25,6
6,3,10.0,2,100000,2,2,2.1652090703934912e-10,2025-10-03T21:44:25,7
6,3,10.0,2,100000,2,3,2.2270756819319524e-10,2025-10-03T21:44:25,7
8,3,10.0,2,100000,2,0,6.254164052396296e-10,2025-10-03T21:44:25,9
8,3,10.0,2,100000,2,0,5.703786240963315e-10,2025-10-03T21:44:25,5
8,3,10.0,2,100000,2,0,6.032723297741706e-10,2025-10-03T21:44:25,10
8,3,10.0,2,100000,2,0,5.626876642946748e-10,2025-10-03T21:44:25,0
8,3,10.0,2,100000,2,0,7.160508045477274e-10,2025-10-03T21:44:25,1
8,3,10.0,2,100000,2,0,7.990967346379128e-10,2025-10-03T21:44:25,6
8,3,10.0,2,100000,2,0,4.772204156002426e-10,2025-10-03T21:44:25,7
8,3,10.0,2,100000,2,0,7.895014001138679e-10,2025-10-03T21:44:25,3
8,3,10.0,2,100000,2,0,5.202021838575081e-10,2025-10-03T21:44:25,4
8,3,10.0,2,100000,2,0,5.979514410310791e-10,2025-10-03T21:44:25,2
8,3,10.0,2,100000,2,0,8.810869649824999e-10,2025-10-03T21:44:25,8
8,3,10.0,2,100000,2,1,6.779468065676246e-10,2025-10-03T21:44:26,0
8,3,10.0,2,100000,2,1,6.550944141126927e-10,2025-10-03T21:44:26,9
8,3,10.0,2,100000,2,1,5.213685616348375e-10,2025-10-03T21:44:26,1
8,3,10.0,2,100000,2,1,7.029766650923762e-10,2025-10-03T21:44:26,5
8,3,10.0,2,100000,2,1,6.245787542761982e-10,2025-10-03T21:44:26,6
8,3,10.0,2,100000,2,1,5.968647520197321e-10,2025-10-03T21:44:26,3
8,3,10.0,2,100000,2,1,6.31783173650926e-10,2025-10-03T21:44:26,2
8,3,10.0,2,100000,2,1,4.938137443043022e-10,2025-10-03T21:44:26,4
8,3,10.0,2,100000,2,1,7.642960802957937e-10,2025-10-03T21:44:26,7
