n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
6,5,10.0,1,100000,2,0,1.6455166492614453e-06,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,0,8.123976490388105e-07,6,2025-10-25T11:11:42,0
6,5,10.0,1,100000,2,0,3.1609577324794465e-07,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,0,6.897562064422571e-07,6,2025-10-25T11:11:42,3
6,5,10.0,1,100000,2,0,4.4508310061320096e-07,6,2025-10-25T11:11:42,5
6,5,10.0,1,100000,2,1,9.339625349848473e-07,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,0,1.342415607346023e-06,6,2025-10-25T11:11:42,4
6,5,10.0,1,100000,2,1,1.5067685873344626e-06,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,1,7.214678715293887e-07,6,2025-10-25T11:11:42,0
6,5,10.0,1,100000,2,0,1.300230891494968e-06,6,2025-10-25T11:11:42,6
6,5,10.0,1,100000,2,0,9.058041053645447e-07,6,2025-10-25T11:11:42,7
6,5,10.0,1,100000,2,1,7.445496296495007e-07,6,2025-10-25T11:11:42,3
6,5,10.0,1,100000,2,1,3.0137459007294635e-07,6,2025-10-25T11:11:42,5
6,5,10.0,1,100000,2,2,1.2531092337390238e-07,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,1,8.618730591667978e-07,6,2025-10-25T11:11:42,4
6,5,10.0,1,100000,2,2,1.1951267588788967e-06,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,1,9.649434176408902e-07,6,2025-10-25T11:11:42,6
6,5,10.0,1,100000,2,3,8.257709670207371e-07,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,2,2.4488468023455224e-06,6,2025-10-25T11:11:42,0
6,5,10.0,1,100000,2,2,5.880771061609492e-07,6,2025-10-25T11:11:42,3
6,5,10.0,1,100000,2,0,9.518567328582124e-07,6,2025-10-25T11:11:42,8
6,5,10.0,1,100000,2,0,1.485198017142172e-06,6,2025-10-25T11:11:42,9
6,5,10.0,1,100000,2,2,2.304244011589082e-06,6,2025-10-25T11:11:42,6
6,5,10.0,1,100000,2,0,8.44678773260911e-07,6,2025-10-25T11:11:42,10
6,5,10.0,1,100000,2,3,9.617385062594148e-07,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,1,2.9155743927453025e-06,6,2025-10-25T11:11:42,7
6,5,10.0,1,100000,2,4,1.2849554603953382e-06,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,1,1.2075062199250414e-06,6,2025-10-25T11:11:42,9
6,5,10.0,1,100000,2,2,1.3208949333030039e-06,6,2025-10-25T11:11:42,4
6,5,10.0,1,100000,2,2,5.711783542572559e-07,6,2025-10-25T11:11:42,5
6,5,10.0,1,100000,2,3,5.751105386665527e-07,6,2025-10-25T11:11:42,6
6,5,10.0,1,100000,2,1,3.2539754004758786e-07,6,2025-10-25T11:11:42,8
6,5,10.0,1,100000,2,4,1.7839676318055006e-06,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,2,1.124217277695843e-06,6,2025-10-25T11:11:42,9
6,5,10.0,1,100000,2,2,9.164218459608593e-07,6,2025-10-25T11:11:42,7
6,5,10.0,1,100000,2,5,2.2187775014653356e-06,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,1,8.13234999221087e-07,6,2025-10-25T11:11:42,10
6,5,10.0,1,100000,2,5,2.567026082237047e-07,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,3,5.128361674405322e-07,6,2025-10-25T11:11:42,0
6,5,10.0,1,100000,2,3,1.6384930910753587e-06,6,2025-10-25T11:11:42,3
6,5,10.0,1,100000,2,3,1.206801048373733e-06,6,2025-10-25T11:11:42,4
6,5,10.0,1,100000,2,4,1.697614290825844e-06,6,2025-10-25T11:11:42,6
6,5,10.0,1,100000,2,2,2.7535610866137053e-06,6,2025-10-25T11:11:42,8
6,5,10.0,1,100000,2,6,3.254237830925091e-06,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,3,7.829094744470174e-07,6,2025-10-25T11:11:42,7
6,5,10.0,1,100000,2,6,5.850979407070507e-07,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,3,7.51350953077227e-07,6,2025-10-25T11:11:42,9
6,5,10.0,1,100000,2,3,7.834000171956178e-07,6,2025-10-25T11:11:42,5
6,5,10.0,1,100000,2,5,1.5056635823782513e-06,6,2025-10-25T11:11:42,6
6,5,10.0,1,100000,2,4,1.0371933994368262e-06,6,2025-10-25T11:11:42,0
6,5,10.0,1,100000,2,2,9.226380394083567e-07,6,2025-10-25T11:11:42,10
6,5,10.0,1,100000,2,4,1.3470988224924776e-06,6,2025-10-25T11:11:42,4
6,5,10.0,1,100000,2,5,6.281025422128051e-07,6,2025-10-25T11:11:42,0
6,5,10.0,1,100000,2,4,1.4724658593478193e-06,6,2025-10-25T11:11:42,3
6,5,10.0,1,100000,2,3,1.1852284183428527e-06,6,2025-10-25T11:11:42,8
6,5,10.0,1,100000,2,7,1.3221881160293003e-06,6,2025-10-25T11:11:42,2
6,5,10.0,1,100000,2,7,4.77656611032179e-07,6,2025-10-25T11:11:42,1
6,5,10.0,1,100000,2,4,3.639384299615825e-07,6,2025-10-25T11:11:42,5
6,5,10.0,1,100000,2,5,1.1457353875308786e-06,6,2025-10-25T11:11:42,4
