n,k,t,l,r,p,rep,norm,timestamp,worker
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,0
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,3
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,1
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,2
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,8
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,5
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,7
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,4
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,9
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,6
10,3,0.0,2,100000,2,0,0.0,2025-10-05T00:15:55,10
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,0
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,3
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,2
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,8
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,1
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,6
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,4
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,9
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,7
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,5
10,3,0.0,2,100000,2,1,0.0,2025-10-05T00:15:56,10
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,0
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,1
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,7
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,3
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,4
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,6
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,2
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,9
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,10
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:57,8
10,3,0.0,2,100000,2,2,0.0,2025-10-05T00:15:58,5
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:58,0
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:58,7
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,6
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,4
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,3
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,9
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,1
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,2
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,10
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,5
10,3,0.0,2,100000,2,3,0.0,2025-10-05T00:15:59,8
10,3,10.1010101010101,2,100000,2,0,1.3171829261981344e-09,2025-10-05T00:16:00,3
10,3,10.1010101010101,2,100000,2,0,1.2490323716558166e-09,2025-10-05T00:16:00,2
10,3,10.1010101010101,2,100000,2,0,1.270734644559382e-09,2025-10-05T00:16:00,7
10,3,10.1010101010101,2,100000,2,0,2.451361711418724e-09,2025-10-05T00:16:00,1
10,3,10.1010101010101,2,100000,2,0,1.3091579471764918e-09,2025-10-05T00:16:00,10
10,3,10.1010101010101,2,100000,2,0,1.419456593167481e-09,2025-10-05T00:16:00,4
10,3,10.1010101010101,2,100000,2,0,1.4367742670609958e-09,2025-10-05T00:16:00,6
10,3,10.1010101010101,2,100000,2,0,1.434188692974899e-09,2025-10-05T00:16:00,8
10,3,10.1010101010101,2,100000,2,0,1.2685380302653382e-09,2025-10-05T00:16:00,0
10,3,10.1010101010101,2,100000,2,0,2.309549267035062e-09,2025-10-05T00:16:00,5
10,3,10.1010101010101,2,100000,2,0,1.751929024229397e-09,2025-10-05T00:16:00,9
10,3,10.1010101010101,2,100000,2,1,1.5723019012155872e-09,2025-10-05T00:16:01,7
10,3,10.1010101010101,2,100000,2,1,9.92935260565536e-10,2025-10-05T00:16:01,10
10,3,10.1010101010101,2,100000,2,1,1.5105990788596082e-09,2025-10-05T00:16:01,2
