n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
6,3,10.0,1,100000,2,0,3.925620330296054e-05,4,2025-10-25T13:37:35,0
6,3,10.0,1,100000,2,0,1.842611701274096e-05,4,2025-10-25T13:37:35,3
6,3,10.0,1,100000,2,0,6.973549551102415e-05,8,2025-10-25T13:37:35,1
6,3,10.0,1,100000,2,0,2.03148442809126e-05,6,2025-10-25T13:37:35,2
6,3,10.0,1,100000,2,1,6.077411312591158e-05,8,2025-10-25T13:37:35,0
6,3,10.0,1,100000,2,0,4.10953430853665e-06,6,2025-10-25T13:37:35,6
6,3,10.0,1,100000,2,0,2.227032086213847e-05,5,2025-10-25T13:37:35,4
6,3,10.0,1,100000,2,1,1.6125118087041487e-05,5,2025-10-25T13:37:35,1
6,3,10.0,1,100000,2,1,6.799223399733718e-05,8,2025-10-25T13:37:35,2
6,3,10.0,1,100000,2,1,1.2771667782677483e-05,7,2025-10-25T13:37:35,3
6,3,10.0,1,100000,2,2,6.742037582086511e-06,3,2025-10-25T13:37:35,1
6,3,10.0,1,100000,2,0,2.8495790355885574e-05,5,2025-10-25T13:37:35,9
6,3,10.0,1,100000,2,0,1.3274545891511102e-05,3,2025-10-25T13:37:35,7
6,3,10.0,1,100000,2,2,3.2009962477744264e-05,6,2025-10-25T13:37:35,0
6,3,10.0,1,100000,2,0,2.5369711387724306e-05,9,2025-10-25T13:37:35,8
6,3,10.0,1,100000,2,0,2.969237118646083e-05,10,2025-10-25T13:37:35,5
6,3,10.0,1,100000,2,1,1.3714999977803065e-05,5,2025-10-25T13:37:35,6
6,3,10.0,1,100000,2,1,1.911346400714306e-05,4,2025-10-25T13:37:35,4
6,3,10.0,1,100000,2,2,9.191689665033675e-06,5,2025-10-25T13:37:35,3
6,3,10.0,1,100000,2,0,2.4981285452900128e-05,6,2025-10-25T13:37:35,10
6,3,10.0,1,100000,2,3,2.6336325526761278e-11,2,2025-10-25T13:37:35,3
6,3,10.0,1,100000,2,2,2.703998255908743e-05,5,2025-10-25T13:37:35,4
6,3,10.0,1,100000,2,3,1.5155635426866462e-05,5,2025-10-25T13:37:35,0
6,3,10.0,1,100000,2,1,1.0577884840846626e-05,8,2025-10-25T13:37:35,7
6,3,10.0,1,100000,2,2,1.434221708306258e-05,8,2025-10-25T13:37:35,2
6,3,10.0,1,100000,2,3,3.695276216927613e-05,5,2025-10-25T13:37:35,1
6,3,10.0,1,100000,2,1,2.6696498962403868e-05,6,2025-10-25T13:37:35,5
6,3,10.0,1,100000,2,1,3.0015307943866502e-05,7,2025-10-25T13:37:35,8
6,3,10.0,1,100000,2,2,4.119397904567456e-05,6,2025-10-25T13:37:35,6
6,3,10.0,1,100000,2,1,4.218404588967108e-05,9,2025-10-25T13:37:35,9
6,3,10.0,1,100000,2,1,2.0991560148239732e-05,5,2025-10-25T13:37:35,10
6,3,10.0,1,100000,2,4,6.863757621085312e-05,5,2025-10-25T13:37:36,3
6,3,10.0,1,100000,2,3,4.40247934930968e-05,3,2025-10-25T13:37:36,6
6,3,10.0,1,100000,2,2,9.330988141878982e-06,4,2025-10-25T13:37:36,5
6,3,10.0,1,100000,2,3,4.310497005120268e-05,8,2025-10-25T13:37:36,4
6,3,10.0,1,100000,2,4,1.5369963651608574e-05,6,2025-10-25T13:37:36,1
6,3,10.0,1,100000,2,5,2.285674262488548e-06,2,2025-10-25T13:37:36,3
6,3,10.0,1,100000,2,3,3.2170107915934664e-05,6,2025-10-25T13:37:36,2
6,3,10.0,1,100000,2,2,3.088676985067337e-05,6,2025-10-25T13:37:36,8
