n,k,t,l,r,p,rep,norm,timestamp,worker
6,3,10.0,1,100000,2,0,3.027995080939466e-05,2025-10-25T10:45:35,1
6,3,10.0,1,100000,2,0,2.3745771779518583e-05,2025-10-25T10:45:35,0
6,3,10.0,1,100000,2,0,3.3020479305914225e-05,2025-10-25T10:45:35,4
6,3,10.0,1,100000,2,0,2.8203958240370588e-05,2025-10-25T10:45:35,3
6,3,10.0,1,100000,2,0,2.785615454294296e-05,2025-10-25T10:45:35,2
6,3,10.0,1,100000,2,0,4.3127199357756854e-05,2025-10-25T10:45:35,8
6,3,10.0,1,100000,2,0,5.113626974200852e-05,2025-10-25T10:45:35,7
6,3,10.0,1,100000,2,0,2.625865037343713e-05,2025-10-25T10:45:35,6
6,3,10.0,1,100000,2,0,3.4790437706626705e-05,2025-10-25T10:45:35,9
6,3,10.0,1,100000,2,0,3.0685835718540535e-05,2025-10-25T10:45:35,5
6,3,10.0,1,100000,2,0,2.3926692749434522e-05,2025-10-25T10:45:35,10
6,3,10.0,1,100000,2,1,2.849381235747033e-05,2025-10-25T10:45:35,3
6,3,10.0,1,100000,2,1,3.1509765454833517e-05,2025-10-25T10:45:35,0
6,3,10.0,1,100000,2,1,3.914850904100384e-05,2025-10-25T10:45:35,1
6,3,10.0,1,100000,2,1,3.5146904742653434e-05,2025-10-25T10:45:35,6
6,3,10.0,1,100000,2,1,4.630238788646997e-05,2025-10-25T10:45:35,5
6,3,10.0,1,100000,2,1,2.6570550374844005e-05,2025-10-25T10:45:35,2
6,3,10.0,1,100000,2,1,2.757386329877658e-05,2025-10-25T10:45:35,4
6,3,10.0,1,100000,2,1,2.8461322579039825e-05,2025-10-25T10:45:35,7
6,3,10.0,1,100000,2,1,1.825313224084126e-05,2025-10-25T10:45:35,8
6,3,10.0,1,100000,2,1,3.290873936035727e-05,2025-10-25T10:45:35,9
6,3,10.0,1,100000,2,1,1.6201511635454746e-05,2025-10-25T10:45:35,10
6,3,10.0,1,100000,2,2,2.5440794481135364e-05,2025-10-25T10:45:35,3
6,3,10.0,1,100000,2,2,3.88067930055749e-05,2025-10-25T10:45:35,6
6,3,10.0,1,100000,2,2,3.189505504372495e-05,2025-10-25T10:45:35,5
6,3,10.0,1,100000,2,2,2.1227337373035753e-05,2025-10-25T10:45:35,2
6,3,10.0,1,100000,2,2,3.1931654819152375e-05,2025-10-25T10:45:35,0
6,3,10.0,1,100000,2,2,5.168082259712999e-05,2025-10-25T10:45:35,1
6,3,10.0,1,100000,2,2,2.2416523426700505e-05,2025-10-25T10:45:35,4
6,3,10.0,1,100000,2,3,2.7128777104430418e-05,2025-10-25T10:45:35,3
