n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
6,6,10.0,2,100000,2,0,8.121047655361314e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,1,4.964467945712513e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,2,1.4273732462950513e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,3,2.1507565678739053e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,4,1.7321026948269888e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,5,9.355060759557769e-12,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,6,2.189401705592307e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,7,4.601752175819473e-12,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,8,9.148580290835467e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,9,2.0140450623301115e-11,1,2025-10-06T16:37:06,3
6,6,10.0,2,100000,2,0,8.841306257976543e-12,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,0,5.93313300887695e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,1,1.208190479573117e-11,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,1,2.3185432047233835e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,2,1.3219174167593082e-11,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,2,1.0848415854659372e-10,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,3,1.0740642137227248e-11,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,3,6.755775565931918e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,4,5.3772154441151294e-11,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,4,5.419362540401959e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,5,1.168193760426596e-10,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,5,5.7215822811582334e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,6,8.080744377476183e-12,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,6,3.7812753407921866e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,7,3.0490880005240306e-11,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,7,3.667855395430541e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,8,5.438870381159405e-11,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,8,3.424349225879029e-11,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,9,2.3871686788328277e-12,1,2025-10-06T16:37:06,6
6,6,10.0,2,100000,2,9,5.907449858714154e-12,1,2025-10-06T16:37:06,1
6,6,10.0,2,100000,2,0,2.045052562005425e-11,1,2025-10-06T16:37:06,0
6,6,10.0,2,100000,2,0,2.9891931666144706e-11,1,2025-10-06T16:37:06,2
6,6,10.0,2,100000,2,0,1.0320573116852819e-11,1,2025-10-06T16:37:06,7
6,6,10.0,2,100000,2,0,2.086828454833736e-11,1,2025-10-06T16:37:06,4
6,6,10.0,2,100000,2,1,9.512969327026068e-12,1,2025-10-06T16:37:06,4
6,6,10.0,2,100000,2,0,6.597216006105386e-12,1,2025-10-06T16:37:06,5
