n,k,t,l,r,p,rep,norm,timestamp,worker
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,0
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,2
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,4
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,1
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,3
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,6
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,5
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,10
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,9
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,7
10,2,0.0,2,100000,2,0,0.0,2025-10-05T01:25:51,8
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,2
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,6
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,4
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,5
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,0
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,3
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,1
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,8
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,10
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,7
10,2,0.0,2,100000,2,1,0.0,2025-10-05T01:25:52,9
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,2
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,4
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,6
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,0
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,10
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,7
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,1
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,5
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,3
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,8
10,2,0.0,2,100000,2,2,0.0,2025-10-05T01:25:52,9
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,2
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,10
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,0
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,4
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,1
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,6
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,5
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,8
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,3
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,7
10,2,0.0,2,100000,2,3,0.0,2025-10-05T01:25:53,9
10,2,10.1010101010101,2,100000,2,0,6.572050070555335e-09,2025-10-05T01:25:53,9
